[1754, 1241]
[folio, [201.0, 6.0, 173.0, 36.0], bvs-0QLWZ-, 5744997]
[figure-caption, [131.0, 310.0, 204.0, 36.0], pGeSWQW9dJ, 5744997]
[paragraph, [857.0, 365.0, 263.0, 36.0], E2YtcMIJfV, 5744997]
[paragraph, [857.0, 401.0, 263.0, 36.0], E2YtcMIJfV, 5744997]
[paragraph, [857.0, 437.0, 263.0, 36.0], E2YtcMIJfV, 5744997]
[paragraph, [857.0, 473.0, 263.0, 36.0], E2YtcMIJfV, 5744997]
[paragraph, [857.0, 509.0, 263.0, 36.0], E2YtcMIJfV, 5744997]
[paragraph, [97.0, 367.0, 269.0, 36.0], DW0uQIjdeq, 5744997]
[paragraph, [97.0, 403.0, 269.0, 36.0], DW0uQIjdeq, 5744997]
[paragraph, [97.0, 439.0, 269.0, 36.0], DW0uQIjdeq, 5744997]
[paragraph, [97.0, 475.0, 269.0, 36.0], DW0uQIjdeq, 5744997]
[paragraph, [97.0, 511.0, 269.0, 36.0], DW0uQIjdeq, 5744997]
[contact-info, [89.0, 586.0, 130.0, 36.0], EP7sRpIsGR, 5744997]
[contact-info, [232.0, 589.0, 130.0, 36.0], tD0-9e6FfY, 5744997]
[contact-info, [1002.0, 601.0, 131.0, 36.0], GoeQFYFLjw, 5744997]
[contact-info, [862.0, 603.0, 131.0, 36.0], Jj-9A5wXcp, 5744997]
[contact-info, [448.0, 638.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 674.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 710.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 746.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 782.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 818.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 854.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 890.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 926.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 962.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 998.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 1034.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 1070.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 1106.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 1142.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 1178.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 1214.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 1250.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 1286.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 1322.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 1358.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 1394.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[contact-info, [448.0, 1430.0, 339.0, 36.0], SA1PmrETVd, 5744997]
[paragraph, [103.0, 901.0, 249.0, 36.0], RG-Th3ZJXa, 5744997]
[paragraph, [103.0, 937.0, 249.0, 36.0], RG-Th3ZJXa, 5744997]
[paragraph, [103.0, 973.0, 249.0, 36.0], RG-Th3ZJXa, 5744997]
[paragraph, [868.0, 914.0, 249.0, 36.0], rP7U_KCddf, 5744997]
[paragraph, [868.0, 950.0, 249.0, 36.0], rP7U_KCddf, 5744997]
[contact-info, [867.0, 1062.0, 125.0, 36.0], 4y3c3fSbTa, 5744997]
[contact-info, [83.0, 1065.0, 130.0, 36.0], vpf63A-ARz, 5744997]
[contact-info, [1003.0, 1068.0, 138.0, 36.0], 67Zrzmn4mK, 5744997]
[contact-info, [223.0, 1073.0, 145.0, 36.0], MGPcAkW-dk, 5744997]
[figure-caption, [130.0, 1316.0, 206.0, 36.0], KGbLxjWM0y, 5744997]
[figure-caption, [901.0, 1343.0, 204.0, 36.0], _6-Ow0NA--, 5744997]
[paragraph, [105.0, 1392.0, 237.0, 36.0], uuBYidm0Mx, 5744997]
[paragraph, [105.0, 1428.0, 237.0, 36.0], uuBYidm0Mx, 5744997]
[paragraph, [105.0, 1464.0, 237.0, 36.0], uuBYidm0Mx, 5744997]
[paragraph, [874.0, 1394.0, 251.0, 36.0], 2tHezEO2mM, 5744997]
[paragraph, [874.0, 1430.0, 251.0, 36.0], 2tHezEO2mM, 5744997]
[paragraph, [874.0, 1466.0, 251.0, 36.0], 2tHezEO2mM, 5744997]
[paragraph, [874.0, 1502.0, 251.0, 36.0], 2tHezEO2mM, 5744997]
[contact-info, [466.0, 1519.0, 297.0, 36.0], TxoBy8joTV, 5744997]
[contact-info, [97.0, 1557.0, 120.0, 36.0], O0CNaWlv5P, 5744997]
[contact-info, [238.0, 1557.0, 142.0, 36.0], 6W0cS_UL42, 5744997]
[contact-info, [76.0, 1668.0, 529.0, 36.0], RdLl3pMkh5, 5744997]
[contact-info, [76.0, 1704.0, 529.0, 36.0], RdLl3pMkh5, 5744997]
