[1775, 1139]
[paragraph, [103.0, 117.0, 981.0, 36.0], shoonya_2sF520KJS863JP, 5654262]
[paragraph, [103.0, 153.0, 981.0, 36.0], shoonya_2sF520KJS863JP, 5654262]
[paragraph, [103.0, 189.0, 981.0, 36.0], shoonya_2sF520KJS863JP, 5654262]
[paragraph, [103.0, 225.0, 981.0, 36.0], shoonya_2sF520KJS863JP, 5654262]
[paragraph, [103.0, 310.0, 980.0, 36.0], shoonya_1sAGTZM0Q7M8JI, 5654262]
[paragraph, [103.0, 346.0, 980.0, 36.0], shoonya_1sAGTZM0Q7M8JI, 5654262]
[paragraph, [103.0, 382.0, 980.0, 36.0], shoonya_1sAGTZM0Q7M8JI, 5654262]
[paragraph, [103.0, 418.0, 980.0, 36.0], shoonya_1sAGTZM0Q7M8JI, 5654262]
[paragraph, [103.0, 454.0, 980.0, 36.0], shoonya_1sAGTZM0Q7M8JI, 5654262]
[paragraph, [103.0, 490.0, 980.0, 36.0], shoonya_1sAGTZM0Q7M8JI, 5654262]
[paragraph, [103.0, 526.0, 980.0, 36.0], shoonya_1sAGTZM0Q7M8JI, 5654262]
[paragraph, [103.0, 562.0, 980.0, 36.0], shoonya_1sAGTZM0Q7M8JI, 5654262]
[paragraph, [103.0, 598.0, 980.0, 36.0], shoonya_1sAGTZM0Q7M8JI, 5654262]
[paragraph, [103.0, 634.0, 980.0, 36.0], shoonya_1sAGTZM0Q7M8JI, 5654262]
[paragraph, [103.0, 670.0, 980.0, 36.0], shoonya_1sAGTZM0Q7M8JI, 5654262]
[paragraph, [103.0, 706.0, 980.0, 36.0], shoonya_1sAGTZM0Q7M8JI, 5654262]
[paragraph, [103.0, 742.0, 980.0, 36.0], shoonya_1sAGTZM0Q7M8JI, 5654262]
[paragraph, [106.0, 805.0, 981.0, 36.0], shoonya_3sO5KWAS6XAOAO, 5654262]
[paragraph, [106.0, 841.0, 981.0, 36.0], shoonya_3sO5KWAS6XAOAO, 5654262]
[paragraph, [106.0, 877.0, 981.0, 36.0], shoonya_3sO5KWAS6XAOAO, 5654262]
[paragraph, [106.0, 913.0, 981.0, 36.0], shoonya_3sO5KWAS6XAOAO, 5654262]
[paragraph, [106.0, 949.0, 981.0, 36.0], shoonya_3sO5KWAS6XAOAO, 5654262]
[paragraph, [106.0, 985.0, 981.0, 36.0], shoonya_3sO5KWAS6XAOAO, 5654262]
[paragraph, [106.0, 1021.0, 981.0, 36.0], shoonya_3sO5KWAS6XAOAO, 5654262]
[paragraph, [108.0, 1085.0, 986.0, 36.0], shoonya_0sHR1JDIIO5AJ3, 5654262]
[paragraph, [108.0, 1121.0, 986.0, 36.0], shoonya_0sHR1JDIIO5AJ3, 5654262]
[paragraph, [108.0, 1157.0, 986.0, 36.0], shoonya_0sHR1JDIIO5AJ3, 5654262]
[paragraph, [108.0, 1193.0, 986.0, 36.0], shoonya_0sHR1JDIIO5AJ3, 5654262]
[paragraph, [108.0, 1229.0, 986.0, 36.0], shoonya_0sHR1JDIIO5AJ3, 5654262]
[paragraph, [108.0, 1265.0, 986.0, 36.0], shoonya_0sHR1JDIIO5AJ3, 5654262]
[paragraph, [108.0, 1301.0, 986.0, 36.0], shoonya_0sHR1JDIIO5AJ3, 5654262]
[paragraph, [108.0, 1337.0, 986.0, 36.0], shoonya_0sHR1JDIIO5AJ3, 5654262]
[paragraph, [108.0, 1373.0, 986.0, 36.0], shoonya_0sHR1JDIIO5AJ3, 5654262]
[paragraph, [108.0, 1409.0, 986.0, 36.0], shoonya_0sHR1JDIIO5AJ3, 5654262]
[paragraph, [108.0, 1445.0, 986.0, 36.0], shoonya_0sHR1JDIIO5AJ3, 5654262]
[paragraph, [108.0, 1481.0, 986.0, 36.0], shoonya_0sHR1JDIIO5AJ3, 5654262]
[paragraph, [108.0, 1517.0, 986.0, 36.0], shoonya_0sHR1JDIIO5AJ3, 5654262]
