[1754, 1241]
[paragraph, [167.0, 247.0, 451.0, 36.0], shoonya_11sR8V6Y3TM25X, 6472696]
[paragraph, [167.0, 283.0, 451.0, 36.0], shoonya_11sR8V6Y3TM25X, 6472696]
[paragraph, [167.0, 319.0, 451.0, 36.0], shoonya_11sR8V6Y3TM25X, 6472696]
[paragraph, [663.0, 269.0, 368.0, 36.0], shoonya_12s4981YQMLGTF, 6472696]
[paragraph, [663.0, 305.0, 368.0, 36.0], shoonya_12s4981YQMLGTF, 6472696]
[paragraph, [169.0, 363.0, 447.0, 36.0], shoonya_9s8VL9WBQCQHDJ, 6472696]
[paragraph, [169.0, 399.0, 447.0, 36.0], shoonya_9s8VL9WBQCQHDJ, 6472696]
[paragraph, [659.0, 376.0, 409.0, 36.0], UdoEIx21Bk, 6472696]
[paragraph, [659.0, 412.0, 409.0, 36.0], UdoEIx21Bk, 6472696]
[paragraph, [659.0, 448.0, 409.0, 36.0], UdoEIx21Bk, 6472696]
[paragraph, [659.0, 484.0, 409.0, 36.0], UdoEIx21Bk, 6472696]
[paragraph, [171.0, 469.0, 441.0, 36.0], shoonya_3sHHFM9QAWGUIP, 6472696]
[paragraph, [171.0, 505.0, 441.0, 36.0], shoonya_3sHHFM9QAWGUIP, 6472696]
[paragraph, [171.0, 541.0, 441.0, 36.0], shoonya_3sHHFM9QAWGUIP, 6472696]
[paragraph, [171.0, 577.0, 441.0, 36.0], shoonya_3sHHFM9QAWGUIP, 6472696]
[paragraph, [171.0, 613.0, 441.0, 36.0], shoonya_3sHHFM9QAWGUIP, 6472696]
[paragraph, [171.0, 649.0, 441.0, 36.0], shoonya_3sHHFM9QAWGUIP, 6472696]
[paragraph, [623.0, 545.0, 449.0, 36.0], shoonya_5sMFSBXKRA52EB, 6472696]
[paragraph, [623.0, 581.0, 449.0, 36.0], shoonya_5sMFSBXKRA52EB, 6472696]
[paragraph, [623.0, 617.0, 449.0, 36.0], shoonya_5sMFSBXKRA52EB, 6472696]
[paragraph, [170.0, 717.0, 255.0, 36.0], shoonya_2sL3XYAMUGTD6M, 6472696]
[paragraph, [170.0, 753.0, 255.0, 36.0], shoonya_2sL3XYAMUGTD6M, 6472696]
[paragraph, [170.0, 789.0, 255.0, 36.0], shoonya_2sL3XYAMUGTD6M, 6472696]
[paragraph, [170.0, 825.0, 255.0, 36.0], shoonya_2sL3XYAMUGTD6M, 6472696]
[paragraph, [170.0, 896.0, 263.0, 36.0], shoonya_7sCTOMHVWODX4G, 6472696]
[paragraph, [170.0, 932.0, 263.0, 36.0], shoonya_7sCTOMHVWODX4G, 6472696]
[paragraph, [170.0, 968.0, 263.0, 36.0], shoonya_7sCTOMHVWODX4G, 6472696]
[paragraph, [170.0, 1004.0, 263.0, 36.0], shoonya_7sCTOMHVWODX4G, 6472696]
[paragraph, [170.0, 1040.0, 263.0, 36.0], shoonya_7sCTOMHVWODX4G, 6472696]
[paragraph, [170.0, 1076.0, 263.0, 36.0], shoonya_7sCTOMHVWODX4G, 6472696]
[paragraph, [170.0, 1112.0, 263.0, 36.0], shoonya_7sCTOMHVWODX4G, 6472696]
[paragraph, [171.0, 1175.0, 445.0, 36.0], shoonya_1sD3J8Q5BWZQ09, 6472696]
[paragraph, [171.0, 1211.0, 445.0, 36.0], shoonya_1sD3J8Q5BWZQ09, 6472696]
[paragraph, [171.0, 1247.0, 445.0, 36.0], shoonya_1sD3J8Q5BWZQ09, 6472696]
[paragraph, [624.0, 1185.0, 449.0, 36.0], shoonya_4sYST41ZHL70FJ, 6472696]
[paragraph, [624.0, 1221.0, 449.0, 36.0], shoonya_4sYST41ZHL70FJ, 6472696]
[paragraph, [626.0, 1262.0, 449.0, 36.0], aWOAU_23g2, 6472696]
[paragraph, [626.0, 1298.0, 449.0, 36.0], aWOAU_23g2, 6472696]
[paragraph, [626.0, 1334.0, 449.0, 36.0], aWOAU_23g2, 6472696]
[paragraph, [626.0, 1370.0, 449.0, 36.0], aWOAU_23g2, 6472696]
[paragraph, [626.0, 1406.0, 449.0, 36.0], aWOAU_23g2, 6472696]
[paragraph, [626.0, 1442.0, 449.0, 36.0], aWOAU_23g2, 6472696]
[paragraph, [626.0, 1478.0, 449.0, 36.0], aWOAU_23g2, 6472696]
[paragraph, [204.0, 1321.0, 204.0, 36.0], EB3xJKCsm5, 6472696]
[paragraph, [204.0, 1357.0, 204.0, 36.0], EB3xJKCsm5, 6472696]
[paragraph, [204.0, 1393.0, 204.0, 36.0], EB3xJKCsm5, 6472696]
[paragraph, [204.0, 1429.0, 204.0, 36.0], EB3xJKCsm5, 6472696]
