[1787, 1218]
[paragraph, [282.0, 81.0, 526.0, 36.0], V6K1mcqdgT, 5652198]
[paragraph, [282.0, 117.0, 526.0, 36.0], V6K1mcqdgT, 5652198]
[paragraph, [282.0, 153.0, 526.0, 36.0], V6K1mcqdgT, 5652198]
[paragraph, [282.0, 189.0, 526.0, 36.0], V6K1mcqdgT, 5652198]
[paragraph, [282.0, 225.0, 526.0, 36.0], V6K1mcqdgT, 5652198]
[paragraph, [108.0, 264.0, 1004.0, 36.0], shoonya_3sYV88O984ICFE, 5652198]
[paragraph, [108.0, 300.0, 1004.0, 36.0], shoonya_3sYV88O984ICFE, 5652198]
[paragraph, [108.0, 336.0, 1004.0, 36.0], shoonya_3sYV88O984ICFE, 5652198]
[paragraph, [108.0, 372.0, 1004.0, 36.0], shoonya_3sYV88O984ICFE, 5652198]
[paragraph, [285.0, 428.0, 471.0, 36.0], -IEiiDYnh8, 5652198]
[paragraph, [285.0, 464.0, 471.0, 36.0], -IEiiDYnh8, 5652198]
[paragraph, [285.0, 500.0, 471.0, 36.0], -IEiiDYnh8, 5652198]
[paragraph, [285.0, 536.0, 471.0, 36.0], -IEiiDYnh8, 5652198]
[paragraph, [285.0, 572.0, 471.0, 36.0], -IEiiDYnh8, 5652198]
[paragraph, [285.0, 608.0, 471.0, 36.0], -IEiiDYnh8, 5652198]
[paragraph, [285.0, 644.0, 471.0, 36.0], -IEiiDYnh8, 5652198]
[paragraph, [285.0, 680.0, 471.0, 36.0], -IEiiDYnh8, 5652198]
[paragraph, [285.0, 716.0, 471.0, 36.0], -IEiiDYnh8, 5652198]
[paragraph, [103.0, 762.0, 1004.0, 36.0], shoonya_0sBU494AERY20K, 5652198]
[paragraph, [103.0, 798.0, 1004.0, 36.0], shoonya_0sBU494AERY20K, 5652198]
[paragraph, [103.0, 834.0, 1004.0, 36.0], shoonya_0sBU494AERY20K, 5652198]
[paragraph, [103.0, 870.0, 1004.0, 36.0], shoonya_0sBU494AERY20K, 5652198]
[paragraph, [103.0, 906.0, 1004.0, 36.0], shoonya_0sBU494AERY20K, 5652198]
[paragraph, [103.0, 942.0, 1004.0, 36.0], shoonya_0sBU494AERY20K, 5652198]
[paragraph, [103.0, 978.0, 1004.0, 36.0], shoonya_0sBU494AERY20K, 5652198]
[paragraph, [103.0, 1014.0, 1004.0, 36.0], shoonya_0sBU494AERY20K, 5652198]
[paragraph, [103.0, 1050.0, 1004.0, 36.0], shoonya_0sBU494AERY20K, 5652198]
[paragraph, [284.0, 1090.0, 494.0, 36.0], VRgAuP1hx2, 5652198]
[paragraph, [284.0, 1126.0, 494.0, 36.0], VRgAuP1hx2, 5652198]
[paragraph, [284.0, 1162.0, 494.0, 36.0], VRgAuP1hx2, 5652198]
[paragraph, [284.0, 1198.0, 494.0, 36.0], VRgAuP1hx2, 5652198]
[paragraph, [284.0, 1234.0, 494.0, 36.0], VRgAuP1hx2, 5652198]
[paragraph, [284.0, 1270.0, 494.0, 36.0], VRgAuP1hx2, 5652198]
[paragraph, [284.0, 1306.0, 494.0, 36.0], VRgAuP1hx2, 5652198]
[paragraph, [284.0, 1342.0, 494.0, 36.0], VRgAuP1hx2, 5652198]
[paragraph, [284.0, 1378.0, 494.0, 36.0], VRgAuP1hx2, 5652198]
[paragraph, [101.0, 1428.0, 1006.0, 36.0], shoonya_1sYKNKPN9DK62P, 5652198]
[paragraph, [101.0, 1464.0, 1006.0, 36.0], shoonya_1sYKNKPN9DK62P, 5652198]
[paragraph, [101.0, 1500.0, 1006.0, 36.0], shoonya_1sYKNKPN9DK62P, 5652198]
[paragraph, [101.0, 1536.0, 1006.0, 36.0], shoonya_1sYKNKPN9DK62P, 5652198]
[paragraph, [101.0, 1572.0, 1006.0, 36.0], shoonya_1sYKNKPN9DK62P, 5652198]
