[1818, 1374]
[folio, [590.0, 107.0, 158.0, 36.0], shoonya_4s6MRZ7X4HM60H, 5682598]
[paragraph, [104.0, 174.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 210.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 246.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 282.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 318.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 354.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 390.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 426.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 462.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 498.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 534.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 570.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 606.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 642.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 678.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 714.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 750.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 786.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 822.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 858.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 894.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 930.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
[paragraph, [104.0, 966.0, 567.0, 36.0], shoonya_2sFIHBL0NCHHMG, 5682598]
