[792, 612]
[folio, [308.0, 118.0, 156.0, 18.0], Lk07fXn6AW, 6514620]
[paragraph, [146.0, 145.0, 318.0, 18.0], shoonya_0sKQQLGYA8E069, 6514620]
[paragraph, [146.0, 163.0, 318.0, 18.0], shoonya_0sKQQLGYA8E069, 6514620]
[paragraph, [146.0, 181.0, 318.0, 18.0], shoonya_0sKQQLGYA8E069, 6514620]
[paragraph, [146.0, 199.0, 318.0, 18.0], shoonya_0sKQQLGYA8E069, 6514620]
[paragraph, [146.0, 217.0, 318.0, 18.0], shoonya_0sKQQLGYA8E069, 6514620]
[paragraph, [146.0, 235.0, 318.0, 18.0], shoonya_0sKQQLGYA8E069, 6514620]
[paragraph, [146.0, 253.0, 318.0, 18.0], shoonya_0sKQQLGYA8E069, 6514620]
[paragraph, [146.0, 271.0, 318.0, 18.0], shoonya_0sKQQLGYA8E069, 6514620]
[paragraph, [146.0, 289.0, 318.0, 18.0], shoonya_0sKQQLGYA8E069, 6514620]
[paragraph, [146.0, 307.0, 318.0, 18.0], shoonya_0sKQQLGYA8E069, 6514620]
[paragraph, [146.0, 325.0, 318.0, 18.0], shoonya_0sKQQLGYA8E069, 6514620]
[paragraph, [146.0, 343.0, 318.0, 18.0], shoonya_0sKQQLGYA8E069, 6514620]
[paragraph, [146.0, 361.0, 318.0, 18.0], shoonya_0sKQQLGYA8E069, 6514620]
[paragraph, [147.0, 385.0, 317.0, 18.0], 1HuKM0qm0c, 6514620]
[paragraph, [147.0, 403.0, 317.0, 18.0], 1HuKM0qm0c, 6514620]
[paragraph, [147.0, 421.0, 317.0, 18.0], 1HuKM0qm0c, 6514620]
[paragraph, [147.0, 439.0, 317.0, 18.0], 1HuKM0qm0c, 6514620]
[paragraph, [147.0, 457.0, 317.0, 18.0], 1HuKM0qm0c, 6514620]
[paragraph, [147.0, 475.0, 317.0, 18.0], 1HuKM0qm0c, 6514620]
[paragraph, [147.0, 493.0, 317.0, 18.0], 1HuKM0qm0c, 6514620]
[paragraph, [147.0, 511.0, 317.0, 18.0], 1HuKM0qm0c, 6514620]
[paragraph, [147.0, 529.0, 317.0, 18.0], 1HuKM0qm0c, 6514620]
[paragraph, [147.0, 547.0, 317.0, 18.0], 1HuKM0qm0c, 6514620]
[paragraph, [147.0, 565.0, 317.0, 18.0], 1HuKM0qm0c, 6514620]
[paragraph, [147.0, 583.0, 317.0, 18.0], 1HuKM0qm0c, 6514620]
[paragraph, [147.0, 601.0, 317.0, 18.0], 1HuKM0qm0c, 6514620]
[paragraph, [147.0, 619.0, 317.0, 18.0], 1HuKM0qm0c, 6514620]
