[1280, 904]
[headline, [68.0, 2.0, 753.0, 25.5], QkZ93wgkRk, 5695771]
[headline, [68.0, 27.5, 753.0, 25.5], QkZ93wgkRk, 5695771]
[headline, [68.0, 53.0, 753.0, 25.5], QkZ93wgkRk, 5695771]
[paragraph, [145.0, 80.0, 621.0, 18.0], pY4Y_EzpeO, 5695771]
[paragraph, [145.0, 98.0, 621.0, 18.0], pY4Y_EzpeO, 5695771]
[paragraph, [72.0, 147.0, 723.0, 18.0], WtO0n-ZJgQ, 5695771]
[paragraph, [72.0, 165.0, 723.0, 18.0], WtO0n-ZJgQ, 5695771]
[paragraph, [72.0, 183.0, 723.0, 18.0], WtO0n-ZJgQ, 5695771]
[paragraph, [72.0, 201.0, 723.0, 18.0], WtO0n-ZJgQ, 5695771]
[paragraph, [72.0, 219.0, 723.0, 18.0], WtO0n-ZJgQ, 5695771]
[paragraph, [72.0, 237.0, 723.0, 18.0], WtO0n-ZJgQ, 5695771]
[paragraph, [72.0, 255.0, 723.0, 18.0], WtO0n-ZJgQ, 5695771]
[paragraph, [72.0, 273.0, 723.0, 18.0], WtO0n-ZJgQ, 5695771]
[paragraph, [72.0, 291.0, 723.0, 18.0], WtO0n-ZJgQ, 5695771]
[paragraph, [72.0, 309.0, 723.0, 18.0], WtO0n-ZJgQ, 5695771]
[paragraph, [1.0, 355.0, 459.0, 18.0], OD6RTqCmZA, 5695771]
[paragraph, [1.0, 373.0, 459.0, 18.0], OD6RTqCmZA, 5695771]
[paragraph, [1.0, 391.0, 459.0, 18.0], OD6RTqCmZA, 5695771]
[paragraph, [1.0, 409.0, 459.0, 18.0], OD6RTqCmZA, 5695771]
[paragraph, [1.0, 427.0, 459.0, 18.0], OD6RTqCmZA, 5695771]
[paragraph, [1.0, 445.0, 459.0, 18.0], OD6RTqCmZA, 5695771]
[paragraph, [1.0, 463.0, 459.0, 18.0], OD6RTqCmZA, 5695771]
[paragraph, [140.0, 538.0, 650.0, 18.0], shoonya_1s9QMDJ6QT8SBI, 5695771]
[paragraph, [140.0, 556.0, 650.0, 18.0], shoonya_1s9QMDJ6QT8SBI, 5695771]
[paragraph, [140.0, 574.0, 650.0, 18.0], shoonya_1s9QMDJ6QT8SBI, 5695771]
[paragraph, [7.0, 641.0, 884.0, 18.0], wJk-8bjfca, 5695771]
[paragraph, [7.0, 659.0, 884.0, 18.0], wJk-8bjfca, 5695771]
[paragraph, [7.0, 677.0, 884.0, 18.0], wJk-8bjfca, 5695771]
[paragraph, [7.0, 695.0, 884.0, 18.0], wJk-8bjfca, 5695771]
[paragraph, [21.0, 746.0, 864.0, 18.0], MxCZ0e_n5x, 5695771]
[paragraph, [21.0, 764.0, 864.0, 18.0], MxCZ0e_n5x, 5695771]
[paragraph, [21.0, 782.0, 864.0, 18.0], MxCZ0e_n5x, 5695771]
[paragraph, [335.0, 845.0, 532.0, 18.0], qfgjfENHG9, 5695771]
[paragraph, [335.0, 863.0, 532.0, 18.0], qfgjfENHG9, 5695771]
[paragraph, [335.0, 881.0, 532.0, 18.0], qfgjfENHG9, 5695771]
[paragraph, [335.0, 899.0, 532.0, 18.0], qfgjfENHG9, 5695771]
[paragraph, [335.0, 917.0, 532.0, 18.0], qfgjfENHG9, 5695771]
[contact-info, [10.0, 936.0, 155.0, 18.0], igM6Cq7bzP, 5695771]
[contact-info, [10.0, 954.0, 155.0, 18.0], igM6Cq7bzP, 5695771]
[contact-info, [7.0, 1003.0, 527.0, 18.0], zzegqEHsv2, 5695771]
[contact-info, [7.0, 1021.0, 527.0, 18.0], zzegqEHsv2, 5695771]
[contact-info, [7.0, 1039.0, 527.0, 18.0], zzegqEHsv2, 5695771]
[contact-info, [2.0, 1076.0, 764.0, 18.0], BFHO7L7VYg, 5695771]
[contact-info, [2.0, 1094.0, 764.0, 18.0], BFHO7L7VYg, 5695771]
[contact-info, [2.0, 1112.0, 764.0, 18.0], BFHO7L7VYg, 5695771]
[contact-info, [1.0, 1156.0, 818.0, 18.0], Xmja-CWttS, 5695771]
[contact-info, [1.0, 1174.0, 818.0, 18.0], Xmja-CWttS, 5695771]
[contact-info, [1.0, 1192.0, 818.0, 18.0], Xmja-CWttS, 5695771]
[contact-info, [1.0, 1210.0, 818.0, 18.0], Xmja-CWttS, 5695771]
[contact-info, [18.0, 1241.0, 871.0, 18.0], hYZ4q0RIxT, 5695771]
[contact-info, [18.0, 1259.0, 871.0, 18.0], hYZ4q0RIxT, 5695771]
[website-link, [650.0, 1241.0, 233.0, 18.0], h5CHBk-bC_, 5695771]
