[1606, 1056]
[folio, [110.0, 102.0, 225.0, 36.0], shoonya_3sVK42XY2POBLX, 5683685]
[folio, [454.0, 105.0, 157.0, 36.0], shoonya_1s3OW0I4P99OK8, 5683685]
[paragraph, [103.0, 148.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 184.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 220.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 256.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 292.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 328.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 364.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 400.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 436.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 472.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 508.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 544.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 580.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 616.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 652.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 688.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 724.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 760.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 796.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 832.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 868.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 904.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 940.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 976.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 1012.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 1048.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 1084.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 1120.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 1156.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 1192.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 1228.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 1264.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 1300.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 1336.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 1372.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 1408.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 1444.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
[paragraph, [103.0, 1480.0, 846.0, 36.0], shoonya_0s7YIT1JU3EHJ0, 5683685]
