[2339, 1653]
[folio, [239.0, 326.0, 357.0, 36.0], C2hKpTaHJ9, 5736073]
[paragraph, [507.0, 386.0, 309.0, 36.0], shoonya_3sZKRE9HQMHGHS, 5736073]
[paragraph, [507.0, 422.0, 309.0, 36.0], shoonya_3sZKRE9HQMHGHS, 5736073]
[paragraph, [507.0, 458.0, 309.0, 36.0], shoonya_3sZKRE9HQMHGHS, 5736073]
[paragraph, [507.0, 494.0, 309.0, 36.0], shoonya_3sZKRE9HQMHGHS, 5736073]
[paragraph, [507.0, 530.0, 309.0, 36.0], shoonya_3sZKRE9HQMHGHS, 5736073]
[paragraph, [507.0, 566.0, 309.0, 36.0], shoonya_3sZKRE9HQMHGHS, 5736073]
[paragraph, [507.0, 602.0, 309.0, 36.0], shoonya_3sZKRE9HQMHGHS, 5736073]
[paragraph, [507.0, 638.0, 309.0, 36.0], shoonya_3sZKRE9HQMHGHS, 5736073]
[paragraph, [507.0, 674.0, 309.0, 36.0], shoonya_3sZKRE9HQMHGHS, 5736073]
[sidebar, [72.0, 387.0, 159.0, 36.0], FXssU-kMmP, 5736073]
[sidebar, [72.0, 423.0, 159.0, 36.0], FXssU-kMmP, 5736073]
[paragraph, [835.0, 389.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
[paragraph, [835.0, 425.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
[paragraph, [835.0, 461.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
[paragraph, [835.0, 497.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
[paragraph, [835.0, 533.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
[paragraph, [835.0, 569.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
[paragraph, [835.0, 605.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
[paragraph, [835.0, 641.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
[paragraph, [835.0, 677.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
[paragraph, [835.0, 713.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
[paragraph, [835.0, 749.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
[paragraph, [835.0, 785.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
[paragraph, [835.0, 821.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
[paragraph, [835.0, 857.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
[paragraph, [835.0, 893.0, 579.0, 36.0], shoonya_0sU8898Q3MV7FY, 5736073]
