[2350, 1658]
[paragraph, [337.0, 200.0, 1189.0, 36.0], shoonya_4s9I7U1JVCSQVV, 5734426]
[paragraph, [337.0, 236.0, 1189.0, 36.0], shoonya_4s9I7U1JVCSQVV, 5734426]
[paragraph, [337.0, 272.0, 1189.0, 36.0], shoonya_4s9I7U1JVCSQVV, 5734426]
[paragraph, [337.0, 308.0, 1189.0, 36.0], shoonya_4s9I7U1JVCSQVV, 5734426]
[paragraph, [337.0, 344.0, 1189.0, 36.0], shoonya_4s9I7U1JVCSQVV, 5734426]
[paragraph, [337.0, 380.0, 1189.0, 36.0], shoonya_4s9I7U1JVCSQVV, 5734426]
[paragraph, [337.0, 416.0, 1189.0, 36.0], shoonya_4s9I7U1JVCSQVV, 5734426]
[paragraph, [337.0, 452.0, 1189.0, 36.0], shoonya_4s9I7U1JVCSQVV, 5734426]
[paragraph, [337.0, 488.0, 1189.0, 36.0], shoonya_4s9I7U1JVCSQVV, 5734426]
[paragraph, [332.0, 589.0, 1182.0, 36.0], shoonya_2sZWK5LMWBMERU, 5734426]
[paragraph, [332.0, 625.0, 1182.0, 36.0], shoonya_2sZWK5LMWBMERU, 5734426]
[paragraph, [332.0, 661.0, 1182.0, 36.0], shoonya_2sZWK5LMWBMERU, 5734426]
[paragraph, [332.0, 697.0, 1182.0, 36.0], shoonya_2sZWK5LMWBMERU, 5734426]
[paragraph, [332.0, 733.0, 1182.0, 36.0], shoonya_2sZWK5LMWBMERU, 5734426]
[paragraph, [332.0, 769.0, 1182.0, 36.0], shoonya_2sZWK5LMWBMERU, 5734426]
[paragraph, [327.0, 941.0, 1182.0, 36.0], shoonya_0sMIUV0A3WO43J, 5734426]
[paragraph, [327.0, 977.0, 1182.0, 36.0], shoonya_0sMIUV0A3WO43J, 5734426]
[paragraph, [327.0, 1013.0, 1182.0, 36.0], shoonya_0sMIUV0A3WO43J, 5734426]
[paragraph, [327.0, 1049.0, 1182.0, 36.0], shoonya_0sMIUV0A3WO43J, 5734426]
[paragraph, [327.0, 1085.0, 1182.0, 36.0], shoonya_0sMIUV0A3WO43J, 5734426]
[paragraph, [327.0, 1121.0, 1182.0, 36.0], shoonya_0sMIUV0A3WO43J, 5734426]
[paragraph, [327.0, 1157.0, 1182.0, 36.0], shoonya_0sMIUV0A3WO43J, 5734426]
[paragraph, [327.0, 1193.0, 1182.0, 36.0], shoonya_0sMIUV0A3WO43J, 5734426]
[paragraph, [327.0, 1229.0, 1182.0, 36.0], shoonya_0sMIUV0A3WO43J, 5734426]
[paragraph, [327.0, 1265.0, 1182.0, 36.0], shoonya_0sMIUV0A3WO43J, 5734426]
[paragraph, [327.0, 1301.0, 1182.0, 36.0], shoonya_0sMIUV0A3WO43J, 5734426]
[paragraph, [327.0, 1337.0, 1182.0, 36.0], shoonya_0sMIUV0A3WO43J, 5734426]
[paragraph, [327.0, 1373.0, 1182.0, 36.0], shoonya_0sMIUV0A3WO43J, 5734426]
[paragraph, [327.0, 1409.0, 1182.0, 36.0], shoonya_0sMIUV0A3WO43J, 5734426]
[section-title, [300.0, 1513.0, 718.0, 52.5], -f2KLopthM, 5734426]
[paragraph, [327.0, 1595.0, 1177.0, 36.0], shoonya_5sP5ARMPT6SXRN, 5734426]
[paragraph, [327.0, 1631.0, 1177.0, 36.0], shoonya_5sP5ARMPT6SXRN, 5734426]
[paragraph, [327.0, 1667.0, 1177.0, 36.0], shoonya_5sP5ARMPT6SXRN, 5734426]
[paragraph, [327.0, 1703.0, 1177.0, 36.0], shoonya_5sP5ARMPT6SXRN, 5734426]
[paragraph, [327.0, 1739.0, 1177.0, 36.0], shoonya_5sP5ARMPT6SXRN, 5734426]
[paragraph, [327.0, 1775.0, 1177.0, 36.0], shoonya_5sP5ARMPT6SXRN, 5734426]
[paragraph, [322.0, 1870.0, 1176.0, 36.0], shoonya_6sT70FNC39EUPF, 5734426]
[paragraph, [322.0, 1906.0, 1176.0, 36.0], shoonya_6sT70FNC39EUPF, 5734426]
[paragraph, [322.0, 1942.0, 1176.0, 36.0], shoonya_6sT70FNC39EUPF, 5734426]
