[1723, 1092]
[paragraph, [103.0, 103.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 139.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 175.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 211.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 247.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 283.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 319.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 355.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 391.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 427.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 463.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 499.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 535.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 571.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 607.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 643.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 679.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 715.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 751.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 787.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 823.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 859.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 895.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 931.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 967.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1003.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1039.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1075.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1111.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1147.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1183.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1219.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1255.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1291.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1327.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1363.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1399.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1435.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1471.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[paragraph, [103.0, 1507.0, 883.0, 36.0], shoonya_0sGWNFN1OARR1F, 5680363]
[folio, [460.0, 1585.0, 144.0, 36.0], bgpezZ9txf, 5680363]
