[1468, 909]
[folio, [359.0, 78.0, 229.0, 18.0], e7FArGTjsh, 5770337]
[paragraph, [453.0, 143.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 161.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 179.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 197.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 215.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 233.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 251.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 269.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 287.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 305.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 323.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 341.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 359.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 377.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 395.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 413.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 431.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 449.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 467.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 485.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 503.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 521.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 539.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 557.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 575.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 593.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 611.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 629.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 647.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 665.0, 377.0, 18.0], 5S79ELkepb, 5770337]
[paragraph, [453.0, 683.0, 377.0, 18.0], 5S79ELkepb, 5770337]
