[1837, 1285]
[answer, [657.0, 81.0, 624.0, 36.0], DnVehKfTI2, 5712702]
[answer, [657.0, 117.0, 624.0, 36.0], DnVehKfTI2, 5712702]
[answer, [234.0, 168.0, 424.0, 36.0], CJh16cMpGx, 5712702]
[answer, [234.0, 204.0, 424.0, 36.0], CJh16cMpGx, 5712702]
[answer, [234.0, 240.0, 424.0, 36.0], CJh16cMpGx, 5712702]
[answer, [234.0, 276.0, 424.0, 36.0], CJh16cMpGx, 5712702]
[answer, [234.0, 312.0, 424.0, 36.0], CJh16cMpGx, 5712702]
[answer, [234.0, 348.0, 424.0, 36.0], CJh16cMpGx, 5712702]
[answer, [234.0, 384.0, 424.0, 36.0], CJh16cMpGx, 5712702]
[answer, [234.0, 420.0, 424.0, 36.0], CJh16cMpGx, 5712702]
[answer, [659.0, 218.0, 622.0, 36.0], PJEI91BmOS, 5712702]
[answer, [659.0, 254.0, 622.0, 36.0], PJEI91BmOS, 5712702]
[answer, [659.0, 290.0, 622.0, 36.0], PJEI91BmOS, 5712702]
[answer, [659.0, 326.0, 622.0, 36.0], PJEI91BmOS, 5712702]
[answer, [659.0, 362.0, 622.0, 36.0], PJEI91BmOS, 5712702]
[answer, [659.0, 398.0, 622.0, 36.0], PJEI91BmOS, 5712702]
[answer, [659.0, 434.0, 333.0, 36.0], 8-YZqJ5hw7, 5712702]
[answer, [659.0, 470.0, 333.0, 36.0], 8-YZqJ5hw7, 5712702]
[answer, [659.0, 506.0, 333.0, 36.0], 8-YZqJ5hw7, 5712702]
[answer, [659.0, 542.0, 333.0, 36.0], 8-YZqJ5hw7, 5712702]
[answer, [659.0, 578.0, 333.0, 36.0], 8-YZqJ5hw7, 5712702]
[answer, [659.0, 614.0, 333.0, 36.0], 8-YZqJ5hw7, 5712702]
[answer, [659.0, 650.0, 333.0, 36.0], 8-YZqJ5hw7, 5712702]
[answer, [659.0, 686.0, 333.0, 36.0], 8-YZqJ5hw7, 5712702]
[answer, [659.0, 722.0, 333.0, 36.0], 8-YZqJ5hw7, 5712702]
[answer, [659.0, 758.0, 333.0, 36.0], 8-YZqJ5hw7, 5712702]
[answer, [659.0, 794.0, 333.0, 36.0], 8-YZqJ5hw7, 5712702]
[answer, [659.0, 830.0, 333.0, 36.0], 8-YZqJ5hw7, 5712702]
[answer, [35.0, 489.0, 624.0, 36.0], OwNTTdz2RO, 5712702]
[answer, [35.0, 525.0, 624.0, 36.0], OwNTTdz2RO, 5712702]
[answer, [35.0, 561.0, 624.0, 36.0], OwNTTdz2RO, 5712702]
[answer, [35.0, 597.0, 624.0, 36.0], OwNTTdz2RO, 5712702]
[answer, [35.0, 633.0, 624.0, 36.0], OwNTTdz2RO, 5712702]
[answer, [35.0, 669.0, 624.0, 36.0], OwNTTdz2RO, 5712702]
[answer, [35.0, 705.0, 624.0, 36.0], OwNTTdz2RO, 5712702]
[answer, [35.0, 850.0, 622.0, 36.0], hi7GadFdlx, 5712702]
[answer, [35.0, 886.0, 622.0, 36.0], hi7GadFdlx, 5712702]
[folio, [657.0, 877.0, 234.0, 36.0], hMZ_NyVNd8, 5712702]
[contact-info, [921.0, 1588.0, 239.0, 36.0], 7Kmw2JLRef, 5712702]
[contact-info, [921.0, 1624.0, 239.0, 36.0], 7Kmw2JLRef, 5712702]
[contact-info, [921.0, 1660.0, 239.0, 36.0], 7Kmw2JLRef, 5712702]
[footnote, [1044.0, 1705.0, 192.0, 36.0], shoonya_3sPY1XERITBVTI, 5712702]
[folio, [22.0, 1734.0, 142.0, 36.0], Q8pwRESKyq, 5712702]
