[1447, 1063]
[folio, [435.0, 49.0, 219.0, 18.0], nYy79tdUD_, 5762749]
[headline, [114.0, 97.0, 827.0, 25.5], shoonya_1sOEISVXV81K8A, 5762749]
[headline, [114.0, 122.5, 827.0, 25.5], shoonya_1sOEISVXV81K8A, 5762749]
[headline, [114.0, 148.0, 827.0, 25.5], shoonya_1sOEISVXV81K8A, 5762749]
[paragraph, [534.0, 500.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 518.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 536.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 554.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 572.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 590.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 608.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 626.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 644.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 662.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 680.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 698.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 716.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 734.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 752.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 770.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 788.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [534.0, 806.0, 433.0, 18.0], ZGMd78mkip, 5762749]
[paragraph, [88.0, 502.0, 441.0, 18.0], shoonya_3sYC2IZBGH79XY, 5762749]
[paragraph, [88.0, 520.0, 441.0, 18.0], shoonya_3sYC2IZBGH79XY, 5762749]
[paragraph, [88.0, 538.0, 441.0, 18.0], shoonya_3sYC2IZBGH79XY, 5762749]
[paragraph, [88.0, 556.0, 441.0, 18.0], shoonya_3sYC2IZBGH79XY, 5762749]
[paragraph, [88.0, 574.0, 441.0, 18.0], shoonya_3sYC2IZBGH79XY, 5762749]
[paragraph, [88.0, 592.0, 441.0, 18.0], shoonya_3sYC2IZBGH79XY, 5762749]
[paragraph, [88.0, 610.0, 441.0, 18.0], shoonya_3sYC2IZBGH79XY, 5762749]
[paragraph, [88.0, 628.0, 441.0, 18.0], shoonya_3sYC2IZBGH79XY, 5762749]
[paragraph, [88.0, 646.0, 441.0, 18.0], shoonya_3sYC2IZBGH79XY, 5762749]
[paragraph, [88.0, 664.0, 441.0, 18.0], shoonya_3sYC2IZBGH79XY, 5762749]
[paragraph, [88.0, 682.0, 441.0, 18.0], shoonya_3sYC2IZBGH79XY, 5762749]
[paragraph, [91.0, 726.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 744.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 762.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 780.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 798.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 816.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 834.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 852.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 870.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 888.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 906.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 924.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 942.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 960.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 978.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
[paragraph, [91.0, 996.0, 435.0, 18.0], shoonya_5s99QHDCGFZ5N2, 5762749]
