[792, 612]
[paragraph, [224.0, 87.0, 162.0, 18.0], -KCR1Oji9i, 6515587]
[paragraph, [224.0, 105.0, 162.0, 18.0], -KCR1Oji9i, 6515587]
[paragraph, [224.0, 123.0, 162.0, 18.0], -KCR1Oji9i, 6515587]
[paragraph, [224.0, 141.0, 162.0, 18.0], -KCR1Oji9i, 6515587]
[paragraph, [224.0, 159.0, 162.0, 18.0], -KCR1Oji9i, 6515587]
[paragraph, [224.0, 177.0, 162.0, 18.0], -KCR1Oji9i, 6515587]
[paragraph, [224.0, 195.0, 162.0, 18.0], -KCR1Oji9i, 6515587]
[paragraph, [224.0, 213.0, 162.0, 18.0], -KCR1Oji9i, 6515587]
[paragraph, [224.0, 231.0, 162.0, 18.0], -KCR1Oji9i, 6515587]
[paragraph, [224.0, 249.0, 162.0, 18.0], -KCR1Oji9i, 6515587]
[paragraph, [56.0, 88.0, 162.0, 18.0], 9AO-TeqVmj, 6515587]
[paragraph, [56.0, 106.0, 162.0, 18.0], 9AO-TeqVmj, 6515587]
[paragraph, [56.0, 124.0, 162.0, 18.0], 9AO-TeqVmj, 6515587]
[paragraph, [56.0, 142.0, 162.0, 18.0], 9AO-TeqVmj, 6515587]
[paragraph, [393.0, 88.0, 160.0, 18.0], ip48gvmOfV, 6515587]
[paragraph, [392.0, 115.0, 162.0, 18.0], LsEnUwM5JA, 6515587]
[paragraph, [392.0, 133.0, 162.0, 18.0], LsEnUwM5JA, 6515587]
[paragraph, [392.0, 151.0, 162.0, 18.0], LsEnUwM5JA, 6515587]
[paragraph, [392.0, 169.0, 162.0, 18.0], LsEnUwM5JA, 6515587]
[paragraph, [392.0, 187.0, 162.0, 18.0], LsEnUwM5JA, 6515587]
[paragraph, [392.0, 205.0, 162.0, 18.0], LsEnUwM5JA, 6515587]
[paragraph, [392.0, 223.0, 162.0, 18.0], LsEnUwM5JA, 6515587]
[paragraph, [392.0, 241.0, 162.0, 18.0], LsEnUwM5JA, 6515587]
[paragraph, [392.0, 259.0, 162.0, 18.0], LsEnUwM5JA, 6515587]
[paragraph, [392.0, 277.0, 162.0, 18.0], LsEnUwM5JA, 6515587]
[paragraph, [56.0, 167.0, 162.0, 18.0], YgGHgC1cCi, 6515587]
[paragraph, [56.0, 185.0, 162.0, 18.0], YgGHgC1cCi, 6515587]
[paragraph, [56.0, 203.0, 162.0, 18.0], YgGHgC1cCi, 6515587]
[paragraph, [56.0, 221.0, 162.0, 18.0], YgGHgC1cCi, 6515587]
[paragraph, [56.0, 239.0, 162.0, 18.0], YgGHgC1cCi, 6515587]
[paragraph, [56.0, 257.0, 162.0, 18.0], YgGHgC1cCi, 6515587]
[paragraph, [56.0, 275.0, 162.0, 18.0], YgGHgC1cCi, 6515587]
[paragraph, [56.0, 293.0, 162.0, 18.0], YgGHgC1cCi, 6515587]
[paragraph, [56.0, 311.0, 162.0, 18.0], YgGHgC1cCi, 6515587]
[paragraph, [56.0, 329.0, 162.0, 18.0], YgGHgC1cCi, 6515587]
[paragraph, [56.0, 347.0, 162.0, 18.0], YgGHgC1cCi, 6515587]
[paragraph, [56.0, 365.0, 162.0, 18.0], YgGHgC1cCi, 6515587]
[paragraph, [224.0, 271.0, 162.0, 18.0], 2T50pdQg-Q, 6515587]
[paragraph, [55.0, 402.0, 164.0, 18.0], FjyCeudMPt, 6515587]
[paragraph, [55.0, 420.0, 164.0, 18.0], FjyCeudMPt, 6515587]
[paragraph, [55.0, 438.0, 164.0, 18.0], FjyCeudMPt, 6515587]
[paragraph, [55.0, 456.0, 164.0, 18.0], FjyCeudMPt, 6515587]
[paragraph, [55.0, 474.0, 164.0, 18.0], FjyCeudMPt, 6515587]
[paragraph, [55.0, 492.0, 164.0, 18.0], FjyCeudMPt, 6515587]
[paragraph, [55.0, 510.0, 164.0, 18.0], FjyCeudMPt, 6515587]
[paragraph, [55.0, 528.0, 164.0, 18.0], FjyCeudMPt, 6515587]
[paragraph, [55.0, 546.0, 164.0, 18.0], FjyCeudMPt, 6515587]
[paragraph, [55.0, 564.0, 164.0, 18.0], FjyCeudMPt, 6515587]
