[690, 512]
[folio, [209.0, 43.0, 95.0, 18.0], TMP_kYdqRq, 6491830]
[paragraph, [40.0, 64.0, 208.0, 18.0], shoonya_0s3E43SMC2S00W, 6491830]
[paragraph, [262.0, 65.0, 213.0, 18.0], __sNQHEeWF, 6491830]
[paragraph, [262.0, 83.0, 213.0, 18.0], __sNQHEeWF, 6491830]
[paragraph, [262.0, 101.0, 213.0, 18.0], __sNQHEeWF, 6491830]
[paragraph, [262.0, 119.0, 213.0, 18.0], __sNQHEeWF, 6491830]
[paragraph, [262.0, 137.0, 213.0, 18.0], __sNQHEeWF, 6491830]
[paragraph, [262.0, 155.0, 213.0, 18.0], __sNQHEeWF, 6491830]
[paragraph, [262.0, 173.0, 213.0, 18.0], __sNQHEeWF, 6491830]
[paragraph, [262.0, 191.0, 213.0, 18.0], __sNQHEeWF, 6491830]
[paragraph, [262.0, 209.0, 213.0, 18.0], __sNQHEeWF, 6491830]
[paragraph, [262.0, 227.0, 213.0, 18.0], __sNQHEeWF, 6491830]
[paragraph, [262.0, 245.0, 213.0, 18.0], __sNQHEeWF, 6491830]
[paragraph, [262.0, 263.0, 213.0, 18.0], __sNQHEeWF, 6491830]
[paragraph, [262.0, 281.0, 213.0, 18.0], __sNQHEeWF, 6491830]
[paragraph, [262.0, 299.0, 213.0, 18.0], __sNQHEeWF, 6491830]
[paragraph, [36.0, 99.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [36.0, 117.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [36.0, 135.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [36.0, 153.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [36.0, 171.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [36.0, 189.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [36.0, 207.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [36.0, 225.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [36.0, 243.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [36.0, 261.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [36.0, 279.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [36.0, 297.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [36.0, 315.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [36.0, 333.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [36.0, 351.0, 213.0, 18.0], 1zYG1--0GM, 6491830]
[paragraph, [261.0, 334.0, 217.0, 18.0], j_sbokxgSY, 6491830]
[paragraph, [261.0, 352.0, 217.0, 18.0], j_sbokxgSY, 6491830]
[paragraph, [261.0, 370.0, 217.0, 18.0], j_sbokxgSY, 6491830]
[paragraph, [261.0, 388.0, 217.0, 18.0], j_sbokxgSY, 6491830]
[paragraph, [261.0, 406.0, 217.0, 18.0], j_sbokxgSY, 6491830]
[paragraph, [38.0, 382.0, 210.0, 18.0], u6PLXhRd80, 6491830]
[paragraph, [38.0, 400.0, 210.0, 18.0], u6PLXhRd80, 6491830]
[paragraph, [38.0, 418.0, 210.0, 18.0], u6PLXhRd80, 6491830]
