[595, 454]
[paragraph, [28.0, 38.0, 209.0, 18.0], shoonya_4sH6UKC25BZ3G1, 6459469]
[paragraph, [28.0, 56.0, 209.0, 18.0], shoonya_4sH6UKC25BZ3G1, 6459469]
[paragraph, [28.0, 74.0, 209.0, 18.0], shoonya_4sH6UKC25BZ3G1, 6459469]
[paragraph, [28.0, 92.0, 209.0, 18.0], shoonya_4sH6UKC25BZ3G1, 6459469]
[paragraph, [28.0, 110.0, 209.0, 18.0], shoonya_4sH6UKC25BZ3G1, 6459469]
[paragraph, [28.0, 131.0, 206.0, 18.0], 58XjK713iM, 6459469]
[paragraph, [28.0, 149.0, 206.0, 18.0], 58XjK713iM, 6459469]
[paragraph, [28.0, 167.0, 206.0, 18.0], 58XjK713iM, 6459469]
[paragraph, [28.0, 185.0, 206.0, 18.0], 58XjK713iM, 6459469]
[paragraph, [28.0, 203.0, 206.0, 18.0], 58XjK713iM, 6459469]
[paragraph, [28.0, 221.0, 206.0, 18.0], 58XjK713iM, 6459469]
[paragraph, [28.0, 239.0, 206.0, 18.0], 58XjK713iM, 6459469]
[paragraph, [28.0, 257.0, 206.0, 18.0], 58XjK713iM, 6459469]
[paragraph, [28.0, 275.0, 206.0, 18.0], 58XjK713iM, 6459469]
[paragraph, [28.0, 293.0, 206.0, 18.0], 58XjK713iM, 6459469]
[paragraph, [234.0, 283.0, 204.0, 18.0], shoonya_5s4IIFURDQNM97, 6459469]
[paragraph, [234.0, 301.0, 204.0, 18.0], shoonya_5s4IIFURDQNM97, 6459469]
[paragraph, [234.0, 319.0, 204.0, 18.0], shoonya_5s4IIFURDQNM97, 6459469]
[paragraph, [234.0, 337.0, 204.0, 18.0], shoonya_5s4IIFURDQNM97, 6459469]
[paragraph, [234.0, 355.0, 204.0, 18.0], shoonya_5s4IIFURDQNM97, 6459469]
[paragraph, [234.0, 373.0, 204.0, 18.0], shoonya_5s4IIFURDQNM97, 6459469]
[paragraph, [234.0, 391.0, 204.0, 18.0], shoonya_5s4IIFURDQNM97, 6459469]
[paragraph, [234.0, 409.0, 204.0, 18.0], shoonya_5s4IIFURDQNM97, 6459469]
[paragraph, [32.0, 323.0, 203.0, 18.0], shoonya_1s5IAAZKLIUI0K, 6459469]
[paragraph, [32.0, 341.0, 203.0, 18.0], shoonya_1s5IAAZKLIUI0K, 6459469]
[paragraph, [32.0, 359.0, 203.0, 18.0], shoonya_1s5IAAZKLIUI0K, 6459469]
[paragraph, [32.0, 377.0, 203.0, 18.0], shoonya_1s5IAAZKLIUI0K, 6459469]
[paragraph, [30.0, 404.0, 204.0, 18.0], shoonya_7sJJJWPFRAXWZ6, 6459469]
[paragraph, [30.0, 422.0, 204.0, 18.0], shoonya_7sJJJWPFRAXWZ6, 6459469]
[paragraph, [30.0, 440.0, 204.0, 18.0], shoonya_7sJJJWPFRAXWZ6, 6459469]
[paragraph, [30.0, 458.0, 204.0, 18.0], shoonya_7sJJJWPFRAXWZ6, 6459469]
[paragraph, [30.0, 476.0, 204.0, 18.0], shoonya_7sJJJWPFRAXWZ6, 6459469]
[paragraph, [30.0, 494.0, 204.0, 18.0], shoonya_7sJJJWPFRAXWZ6, 6459469]
[paragraph, [30.0, 512.0, 204.0, 18.0], shoonya_7sJJJWPFRAXWZ6, 6459469]
[paragraph, [30.0, 530.0, 204.0, 18.0], shoonya_7sJJJWPFRAXWZ6, 6459469]
[paragraph, [30.0, 548.0, 204.0, 18.0], shoonya_7sJJJWPFRAXWZ6, 6459469]
[paragraph, [237.0, 427.0, 203.0, 18.0], shoonya_6sVO8CULX14CJP, 6459469]
[paragraph, [237.0, 445.0, 203.0, 18.0], shoonya_6sVO8CULX14CJP, 6459469]
[paragraph, [237.0, 463.0, 203.0, 18.0], shoonya_6sVO8CULX14CJP, 6459469]
[paragraph, [237.0, 481.0, 203.0, 18.0], shoonya_6sVO8CULX14CJP, 6459469]
[paragraph, [237.0, 499.0, 203.0, 18.0], shoonya_6sVO8CULX14CJP, 6459469]
[paragraph, [237.0, 517.0, 203.0, 18.0], shoonya_6sVO8CULX14CJP, 6459469]
[paragraph, [237.0, 535.0, 203.0, 18.0], shoonya_6sVO8CULX14CJP, 6459469]
[paragraph, [237.0, 553.0, 203.0, 18.0], shoonya_6sVO8CULX14CJP, 6459469]
[folio, [30.0, 571.0, 75.0, 18.0], wrZwF0Vf3C, 6459469]
