[2339, 1656]
[paragraph, [113.0, 96.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 132.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 168.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 204.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 240.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 276.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 312.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 348.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 384.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 420.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 456.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 492.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 528.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 564.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 600.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 636.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 672.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 708.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 744.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 780.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 816.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 852.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 888.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 924.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 960.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 996.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 1032.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 1068.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 1104.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 1140.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 1176.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [113.0, 1212.0, 698.0, 36.0], shoonya_1sH63Q1EZB4L6S, 5749809]
[paragraph, [842.0, 99.0, 697.0, 36.0], shoonya_6sJ3D94RBWJKJJ, 5749809]
[paragraph, [842.0, 135.0, 697.0, 36.0], shoonya_6sJ3D94RBWJKJJ, 5749809]
[paragraph, [842.0, 171.0, 697.0, 36.0], shoonya_6sJ3D94RBWJKJJ, 5749809]
[paragraph, [837.0, 222.0, 706.0, 36.0], shoonya_12sWLMZR2EA77R, 5749809]
[paragraph, [837.0, 258.0, 706.0, 36.0], shoonya_12sWLMZR2EA77R, 5749809]
[paragraph, [842.0, 322.0, 698.0, 36.0], shoonya_4sQEP7F7K2DLVI, 5749809]
[paragraph, [842.0, 358.0, 698.0, 36.0], shoonya_4sQEP7F7K2DLVI, 5749809]
[paragraph, [842.0, 394.0, 698.0, 36.0], shoonya_4sQEP7F7K2DLVI, 5749809]
[paragraph, [842.0, 430.0, 698.0, 36.0], shoonya_4sQEP7F7K2DLVI, 5749809]
[paragraph, [842.0, 466.0, 698.0, 36.0], shoonya_4sQEP7F7K2DLVI, 5749809]
[paragraph, [842.0, 502.0, 698.0, 36.0], shoonya_4sQEP7F7K2DLVI, 5749809]
[paragraph, [842.0, 538.0, 698.0, 36.0], shoonya_4sQEP7F7K2DLVI, 5749809]
[paragraph, [846.0, 600.0, 694.0, 36.0], shoonya_7s6WCPD9XT6A8D, 5749809]
[paragraph, [846.0, 636.0, 694.0, 36.0], shoonya_7s6WCPD9XT6A8D, 5749809]
