[690, 512]
[folio, [192.0, 36.0, 113.0, 18.0], shoonya_0sENJVTSYTAPRN, 6490816]
[paragraph, [14.0, 57.0, 233.0, 18.0], gZ66no_IHN, 6490816]
[paragraph, [14.0, 75.0, 233.0, 18.0], gZ66no_IHN, 6490816]
[paragraph, [249.0, 57.0, 227.0, 18.0], Vplmd3Pxad, 6490816]
[paragraph, [249.0, 75.0, 227.0, 18.0], Vplmd3Pxad, 6490816]
[paragraph, [249.0, 93.0, 227.0, 18.0], Vplmd3Pxad, 6490816]
[paragraph, [249.0, 111.0, 227.0, 18.0], Vplmd3Pxad, 6490816]
[paragraph, [12.0, 108.0, 234.0, 18.0], zb_fcBJuIv, 6490816]
[paragraph, [12.0, 126.0, 234.0, 18.0], zb_fcBJuIv, 6490816]
[paragraph, [12.0, 144.0, 234.0, 18.0], zb_fcBJuIv, 6490816]
[paragraph, [12.0, 162.0, 234.0, 18.0], zb_fcBJuIv, 6490816]
[paragraph, [12.0, 180.0, 234.0, 18.0], zb_fcBJuIv, 6490816]
[paragraph, [12.0, 198.0, 234.0, 18.0], zb_fcBJuIv, 6490816]
[paragraph, [12.0, 216.0, 234.0, 18.0], zb_fcBJuIv, 6490816]
[paragraph, [12.0, 234.0, 234.0, 18.0], zb_fcBJuIv, 6490816]
[paragraph, [12.0, 252.0, 234.0, 18.0], zb_fcBJuIv, 6490816]
[paragraph, [247.0, 144.0, 233.0, 18.0], LJYQvO3KeM, 6490816]
[paragraph, [247.0, 162.0, 233.0, 18.0], LJYQvO3KeM, 6490816]
[paragraph, [247.0, 180.0, 233.0, 18.0], LJYQvO3KeM, 6490816]
[paragraph, [247.0, 198.0, 233.0, 18.0], LJYQvO3KeM, 6490816]
[paragraph, [247.0, 216.0, 233.0, 18.0], LJYQvO3KeM, 6490816]
[paragraph, [247.0, 234.0, 233.0, 18.0], LJYQvO3KeM, 6490816]
[paragraph, [247.0, 252.0, 233.0, 18.0], LJYQvO3KeM, 6490816]
[paragraph, [247.0, 270.0, 233.0, 18.0], LJYQvO3KeM, 6490816]
[paragraph, [14.0, 273.0, 233.0, 18.0], O97LlbvAj8, 6490816]
[paragraph, [14.0, 291.0, 233.0, 18.0], O97LlbvAj8, 6490816]
[paragraph, [247.0, 291.0, 235.0, 18.0], -ntGi8lqMP, 6490816]
[paragraph, [248.0, 325.0, 234.0, 18.0], _Nwr-QcZHb, 6490816]
[paragraph, [248.0, 343.0, 234.0, 18.0], _Nwr-QcZHb, 6490816]
[paragraph, [248.0, 361.0, 234.0, 18.0], _Nwr-QcZHb, 6490816]
[paragraph, [16.0, 343.0, 232.0, 18.0], vCfal40LU2, 6490816]
[paragraph, [16.0, 376.0, 227.0, 18.0], xfyQHKWRoz, 6490816]
[paragraph, [16.0, 394.0, 227.0, 18.0], xfyQHKWRoz, 6490816]
[paragraph, [245.0, 392.0, 237.0, 18.0], LwS5EvFD4W, 6490816]
[paragraph, [245.0, 410.0, 237.0, 18.0], LwS5EvFD4W, 6490816]
[paragraph, [247.0, 443.0, 229.0, 18.0], etM7myrwuE, 6490816]
[paragraph, [247.0, 461.0, 229.0, 18.0], etM7myrwuE, 6490816]
[paragraph, [247.0, 479.0, 229.0, 18.0], etM7myrwuE, 6490816]
[paragraph, [247.0, 497.0, 229.0, 18.0], etM7myrwuE, 6490816]
[paragraph, [247.0, 515.0, 229.0, 18.0], etM7myrwuE, 6490816]
[paragraph, [247.0, 533.0, 229.0, 18.0], etM7myrwuE, 6490816]
[paragraph, [17.0, 475.0, 226.0, 18.0], bs4xF7f0Uw, 6490816]
[paragraph, [21.0, 543.0, 221.0, 18.0], Waa0eAxFum, 6490816]
[paragraph, [21.0, 561.0, 221.0, 18.0], Waa0eAxFum, 6490816]
[paragraph, [21.0, 579.0, 221.0, 18.0], Waa0eAxFum, 6490816]
[paragraph, [245.0, 559.0, 232.0, 18.0], nVUte4ifEM, 6490816]
[paragraph, [251.0, 593.0, 223.0, 18.0], hd4ebd5lqU, 6490816]
[paragraph, [251.0, 611.0, 223.0, 18.0], hd4ebd5lqU, 6490816]
[paragraph, [38.0, 612.0, 206.0, 18.0], nBFrHe_JP6, 6490816]
