[872, 605]
[section-title, [254.0, 36.0, 84.0, 30.0], 4tDt6aqk61, 6457064]
[folio, [34.0, 37.0, 81.0, 18.0], 6OKjKtdBPT, 6457064]
[paragraph, [37.0, 73.0, 246.0, 18.0], 9JapbXPMIi, 6457064]
[paragraph, [37.0, 91.0, 246.0, 18.0], 9JapbXPMIi, 6457064]
[paragraph, [300.0, 75.0, 262.0, 18.0], VsUbMBETQZ, 6457064]
[paragraph, [300.0, 93.0, 262.0, 18.0], VsUbMBETQZ, 6457064]
[paragraph, [300.0, 111.0, 262.0, 18.0], VsUbMBETQZ, 6457064]
[paragraph, [39.0, 111.0, 248.0, 18.0], yajW7G_0Ca, 6457064]
[paragraph, [39.0, 129.0, 248.0, 18.0], yajW7G_0Ca, 6457064]
[paragraph, [300.0, 133.0, 251.0, 18.0], OaMed5nYO_, 6457064]
[paragraph, [39.0, 148.0, 245.0, 18.0], tuRc3hFLfP, 6457064]
[paragraph, [39.0, 166.0, 245.0, 18.0], tuRc3hFLfP, 6457064]
[paragraph, [302.0, 150.0, 221.0, 18.0], hfFhACzvM9, 6457064]
[paragraph, [300.0, 172.0, 260.0, 18.0], W-uAPFVMxX, 6457064]
[paragraph, [300.0, 190.0, 260.0, 18.0], W-uAPFVMxX, 6457064]
[paragraph, [300.0, 208.0, 260.0, 18.0], W-uAPFVMxX, 6457064]
[paragraph, [300.0, 226.0, 260.0, 18.0], W-uAPFVMxX, 6457064]
[paragraph, [300.0, 244.0, 260.0, 18.0], W-uAPFVMxX, 6457064]
[paragraph, [37.0, 185.0, 256.0, 18.0], 9E_aVDgfj7, 6457064]
[paragraph, [37.0, 203.0, 256.0, 18.0], 9E_aVDgfj7, 6457064]
[paragraph, [38.0, 222.0, 262.0, 18.0], DhAVPl01F1, 6457064]
[paragraph, [38.0, 240.0, 262.0, 18.0], DhAVPl01F1, 6457064]
[paragraph, [39.0, 255.0, 225.0, 18.0], p9ukiUXucy, 6457064]
[paragraph, [300.0, 261.0, 259.0, 18.0], scUuSAcY9e, 6457064]
[paragraph, [37.0, 280.0, 264.0, 18.0], shoonya_0sFBL8C8X1U6Y3, 6457064]
[paragraph, [37.0, 298.0, 264.0, 18.0], shoonya_0sFBL8C8X1U6Y3, 6457064]
[paragraph, [37.0, 316.0, 264.0, 18.0], shoonya_0sFBL8C8X1U6Y3, 6457064]
[paragraph, [37.0, 334.0, 264.0, 18.0], shoonya_0sFBL8C8X1U6Y3, 6457064]
[paragraph, [37.0, 352.0, 264.0, 18.0], shoonya_0sFBL8C8X1U6Y3, 6457064]
[paragraph, [37.0, 370.0, 264.0, 18.0], shoonya_0sFBL8C8X1U6Y3, 6457064]
[paragraph, [37.0, 388.0, 264.0, 18.0], shoonya_0sFBL8C8X1U6Y3, 6457064]
[paragraph, [37.0, 406.0, 264.0, 18.0], shoonya_0sFBL8C8X1U6Y3, 6457064]
[paragraph, [37.0, 424.0, 264.0, 18.0], shoonya_0sFBL8C8X1U6Y3, 6457064]
