[1089, 688]
[ordered-list, [269.0, 98.0, 349.0, 18.0], shoonya_3sS6NBGD7CHDY0, 5760202]
[paragraph, [59.0, 103.0, 206.0, 18.0], XwGv5FjfmR, 5760202]
[ordered-list, [64.0, 129.0, 553.0, 18.0], 735wLNNJQE, 5760202]
[ordered-list, [64.0, 147.0, 553.0, 18.0], 735wLNNJQE, 5760202]
[paragraph, [63.0, 190.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 208.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 226.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 244.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 262.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 280.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 298.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 316.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 334.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 352.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 370.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 388.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 406.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 424.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 442.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 460.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 478.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 496.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 514.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 532.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 550.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 568.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 586.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 604.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 622.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 640.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 658.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 676.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 694.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 712.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [63.0, 730.0, 557.0, 18.0], shoonya_0sI33HAL3D52JH, 5760202]
[paragraph, [65.0, 760.0, 556.0, 18.0], shoonya_1sS7KMJ477X81L, 5760202]
[paragraph, [65.0, 778.0, 556.0, 18.0], shoonya_1sS7KMJ477X81L, 5760202]
[paragraph, [65.0, 796.0, 556.0, 18.0], shoonya_1sS7KMJ477X81L, 5760202]
[paragraph, [65.0, 814.0, 556.0, 18.0], shoonya_1sS7KMJ477X81L, 5760202]
[paragraph, [65.0, 832.0, 556.0, 18.0], shoonya_1sS7KMJ477X81L, 5760202]
[paragraph, [65.0, 850.0, 556.0, 18.0], shoonya_1sS7KMJ477X81L, 5760202]
[paragraph, [65.0, 868.0, 556.0, 18.0], shoonya_1sS7KMJ477X81L, 5760202]
[paragraph, [65.0, 886.0, 556.0, 18.0], shoonya_1sS7KMJ477X81L, 5760202]
