[1074, 720]
[paragraph, [64.0, 117.0, 597.0, 18.0], shoonya_0sZLI547U8I5V5, 5711580]
[paragraph, [64.0, 135.0, 597.0, 18.0], shoonya_0sZLI547U8I5V5, 5711580]
[paragraph, [64.0, 153.0, 597.0, 18.0], shoonya_0sZLI547U8I5V5, 5711580]
[paragraph, [59.0, 177.0, 604.0, 18.0], PDpwP976n1, 5711580]
[paragraph, [59.0, 195.0, 604.0, 18.0], PDpwP976n1, 5711580]
[paragraph, [59.0, 213.0, 604.0, 18.0], PDpwP976n1, 5711580]
[paragraph, [59.0, 231.0, 604.0, 18.0], PDpwP976n1, 5711580]
[paragraph, [59.0, 249.0, 604.0, 18.0], PDpwP976n1, 5711580]
[paragraph, [59.0, 267.0, 604.0, 18.0], PDpwP976n1, 5711580]
[paragraph, [59.0, 285.0, 604.0, 18.0], PDpwP976n1, 5711580]
[paragraph, [59.0, 303.0, 604.0, 18.0], PDpwP976n1, 5711580]
[paragraph, [59.0, 321.0, 604.0, 18.0], PDpwP976n1, 5711580]
[paragraph, [59.0, 339.0, 604.0, 18.0], PDpwP976n1, 5711580]
[paragraph, [59.0, 357.0, 604.0, 18.0], PDpwP976n1, 5711580]
[paragraph, [59.0, 375.0, 604.0, 18.0], PDpwP976n1, 5711580]
[paragraph, [57.0, 398.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 416.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 434.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 452.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 470.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 488.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 506.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 524.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 542.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 560.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 578.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 596.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 614.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 632.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 650.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 668.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [57.0, 686.0, 605.0, 18.0], 8J1iAh4f0Q, 5711580]
[paragraph, [66.0, 714.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 732.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 750.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 768.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 786.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 804.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 822.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 840.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 858.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 876.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 894.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 912.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 930.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 948.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 966.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
[paragraph, [66.0, 984.0, 595.0, 18.0], shoonya_1sXP50I5F3WDL1, 5711580]
