[834, 618]
[folio, [54.0, 42.0, 77.0, 18.0], xaPNbXeYMs, 5712977]
[headline, [94.0, 88.0, 424.0, 25.5], shoonya_4sJYJA70UPU1CF, 5712977]
[headline, [94.0, 113.5, 424.0, 25.5], shoonya_4sJYJA70UPU1CF, 5712977]
[headline, [94.0, 139.0, 424.0, 25.5], shoonya_4sJYJA70UPU1CF, 5712977]
[paragraph, [46.0, 168.0, 268.0, 18.0], shoonya_2s5I14572MW3RR, 5712977]
[paragraph, [46.0, 186.0, 268.0, 18.0], shoonya_2s5I14572MW3RR, 5712977]
[paragraph, [46.0, 204.0, 268.0, 18.0], shoonya_2s5I14572MW3RR, 5712977]
[paragraph, [46.0, 222.0, 268.0, 18.0], shoonya_2s5I14572MW3RR, 5712977]
[paragraph, [46.0, 240.0, 268.0, 18.0], shoonya_2s5I14572MW3RR, 5712977]
[paragraph, [150.0, 263.0, 166.0, 18.0], OLHyr7Q8pt, 5712977]
[paragraph, [150.0, 281.0, 166.0, 18.0], OLHyr7Q8pt, 5712977]
[paragraph, [150.0, 299.0, 166.0, 18.0], OLHyr7Q8pt, 5712977]
[paragraph, [150.0, 317.0, 166.0, 18.0], OLHyr7Q8pt, 5712977]
[paragraph, [150.0, 335.0, 166.0, 18.0], OLHyr7Q8pt, 5712977]
[paragraph, [150.0, 353.0, 166.0, 18.0], OLHyr7Q8pt, 5712977]
[paragraph, [150.0, 371.0, 166.0, 18.0], OLHyr7Q8pt, 5712977]
[sidebar, [49.0, 273.0, 95.0, 18.0], Qh853eqXQI, 5712977]
[sidebar, [49.0, 291.0, 95.0, 18.0], Qh853eqXQI, 5712977]
[sidebar, [49.0, 309.0, 95.0, 18.0], Qh853eqXQI, 5712977]
[sidebar, [49.0, 327.0, 95.0, 18.0], Qh853eqXQI, 5712977]
[sidebar, [49.0, 345.0, 95.0, 18.0], Qh853eqXQI, 5712977]
[sidebar, [49.0, 363.0, 95.0, 18.0], Qh853eqXQI, 5712977]
[paragraph, [37.0, 398.0, 279.0, 18.0], n2lBgD23MY, 5712977]
[paragraph, [37.0, 416.0, 279.0, 18.0], n2lBgD23MY, 5712977]
[paragraph, [37.0, 434.0, 279.0, 18.0], n2lBgD23MY, 5712977]
[paragraph, [304.0, 465.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 483.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 501.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 519.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 537.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 555.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 573.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 591.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 609.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 627.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 645.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 663.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 681.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 699.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 717.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[paragraph, [304.0, 735.0, 265.0, 18.0], eEZlMPZVqs, 5712977]
[section-title, [53.0, 481.0, 249.0, 30.0], shoonya_3s82K44TWOLBS9, 5712977]
[folio, [70.0, 773.0, 114.0, 18.0], FngI45RASv, 5712977]
