[1447, 1063]
[folio, [399.0, 50.0, 233.0, 18.0], shoonya_1sS3GBVN9TSWJC, 5762568]
[folio, [399.0, 68.0, 233.0, 18.0], shoonya_1sS3GBVN9TSWJC, 5762568]
[paragraph, [81.0, 635.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 653.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 671.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 689.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 707.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 725.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 743.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 761.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 779.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 797.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 815.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 833.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 851.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 869.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 887.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 905.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 923.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 941.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 959.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 977.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 995.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1013.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1031.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1049.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1067.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1085.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1103.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1121.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1139.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1157.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1175.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1193.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1211.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1229.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1247.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1265.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1283.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1301.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [81.0, 1319.0, 445.0, 18.0], shoonya_2s5I6WRQG0EEJ9, 5762568]
[paragraph, [528.0, 636.0, 438.0, 18.0], shoonya_5sHF9HT5O35Z6U, 5762568]
[paragraph, [528.0, 654.0, 438.0, 18.0], shoonya_5sHF9HT5O35Z6U, 5762568]
[paragraph, [528.0, 672.0, 438.0, 18.0], shoonya_5sHF9HT5O35Z6U, 5762568]
[paragraph, [527.0, 702.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 720.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 738.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 756.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 774.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 792.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 810.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 828.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 846.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 864.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 882.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 900.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 918.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 936.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 954.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 972.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 990.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
[paragraph, [527.0, 1008.0, 440.0, 18.0], shoonya_4sUX7KAU5JWVE4, 5762568]
