[1755, 1240]
[folio, [643.0, 74.0, 483.0, 36.0], pss5V0J2GY, 5744471]
[paragraph, [193.0, 203.0, 942.0, 36.0], shoonya_0s8U9KKQLG22A2, 5744471]
[paragraph, [193.0, 239.0, 942.0, 36.0], shoonya_0s8U9KKQLG22A2, 5744471]
[paragraph, [193.0, 275.0, 942.0, 36.0], shoonya_0s8U9KKQLG22A2, 5744471]
[paragraph, [193.0, 311.0, 942.0, 36.0], shoonya_0s8U9KKQLG22A2, 5744471]
[paragraph, [193.0, 347.0, 942.0, 36.0], shoonya_0s8U9KKQLG22A2, 5744471]
[paragraph, [193.0, 383.0, 942.0, 36.0], shoonya_0s8U9KKQLG22A2, 5744471]
[paragraph, [193.0, 419.0, 942.0, 36.0], shoonya_0s8U9KKQLG22A2, 5744471]
[paragraph, [193.0, 455.0, 942.0, 36.0], shoonya_0s8U9KKQLG22A2, 5744471]
[paragraph, [193.0, 522.0, 945.0, 36.0], oYCeRAj9kG, 5744471]
[paragraph, [193.0, 558.0, 945.0, 36.0], oYCeRAj9kG, 5744471]
[paragraph, [193.0, 594.0, 945.0, 36.0], oYCeRAj9kG, 5744471]
[paragraph, [193.0, 630.0, 945.0, 36.0], oYCeRAj9kG, 5744471]
[paragraph, [193.0, 666.0, 945.0, 36.0], oYCeRAj9kG, 5744471]
[paragraph, [193.0, 702.0, 945.0, 36.0], oYCeRAj9kG, 5744471]
[paragraph, [193.0, 738.0, 945.0, 36.0], oYCeRAj9kG, 5744471]
[paragraph, [193.0, 774.0, 945.0, 36.0], oYCeRAj9kG, 5744471]
[paragraph, [193.0, 810.0, 945.0, 36.0], oYCeRAj9kG, 5744471]
[paragraph, [196.0, 936.0, 934.0, 36.0], Q2qEGfAqyM, 5744471]
[paragraph, [196.0, 972.0, 934.0, 36.0], Q2qEGfAqyM, 5744471]
[paragraph, [196.0, 1008.0, 934.0, 36.0], Q2qEGfAqyM, 5744471]
[paragraph, [196.0, 1044.0, 934.0, 36.0], Q2qEGfAqyM, 5744471]
[paragraph, [196.0, 1080.0, 934.0, 36.0], Q2qEGfAqyM, 5744471]
[paragraph, [196.0, 1150.0, 936.0, 36.0], L36OAmb5dj, 5744471]
[paragraph, [196.0, 1186.0, 936.0, 36.0], L36OAmb5dj, 5744471]
[paragraph, [196.0, 1222.0, 936.0, 36.0], L36OAmb5dj, 5744471]
[paragraph, [196.0, 1258.0, 936.0, 36.0], L36OAmb5dj, 5744471]
[paragraph, [196.0, 1294.0, 936.0, 36.0], L36OAmb5dj, 5744471]
[paragraph, [196.0, 1330.0, 936.0, 36.0], L36OAmb5dj, 5744471]
[paragraph, [196.0, 1366.0, 936.0, 36.0], L36OAmb5dj, 5744471]
[paragraph, [196.0, 1402.0, 936.0, 36.0], L36OAmb5dj, 5744471]
[paragraph, [196.0, 1438.0, 936.0, 36.0], L36OAmb5dj, 5744471]
[paragraph, [196.0, 1474.0, 936.0, 36.0], L36OAmb5dj, 5744471]
[paragraph, [196.0, 1510.0, 936.0, 36.0], L36OAmb5dj, 5744471]
[paragraph, [196.0, 1546.0, 936.0, 36.0], L36OAmb5dj, 5744471]
