[842, 596]
[section-title, [90.0, 44.0, 414.0, 30.0], shoonya_27s7OBLFBL1T1L, 5707365]
[section-title, [90.0, 74.0, 414.0, 30.0], shoonya_27s7OBLFBL1T1L, 5707365]
[paragraph, [48.0, 160.0, 490.0, 18.0], shoonya_21s5VPBIX2ON9L, 5707365]
[paragraph, [48.0, 178.0, 490.0, 18.0], shoonya_21s5VPBIX2ON9L, 5707365]
[paragraph, [48.0, 196.0, 490.0, 18.0], shoonya_21s5VPBIX2ON9L, 5707365]
[placeholder-text, [151.0, 165.0, 385.0, 18.0], shoonya_16sGOBRUW99FJT, 5707365]
[placeholder-text, [53.0, 190.0, 278.0, 18.0], shoonya_0sEXWSSOWLNPIT, 5707365]
[ordered-list, [44.0, 230.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 248.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 266.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 284.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 302.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 320.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 338.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 356.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 374.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 392.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 410.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 428.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 446.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 464.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 482.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 500.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 518.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 536.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 554.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 572.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 590.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 608.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[ordered-list, [44.0, 626.0, 507.0, 18.0], j08Gy3I2iB, 5707365]
[placeholder-text, [136.0, 234.0, 388.0, 18.0], shoonya_1s30VZ13E8AN25, 5707365]
[placeholder-text, [81.0, 259.0, 320.0, 18.0], shoonya_15s55L0U8IRBA9, 5707365]
[placeholder-text, [99.0, 288.0, 120.0, 18.0], shoonya_9sB8LRPKVW2A7H, 5707365]
[placeholder-text, [168.0, 338.0, 287.0, 18.0], shoonya_13sNTGBT4O7JVC, 5707365]
[sub-ordered-list, [79.0, 387.0, 385.0, 18.0], shoonya_35s0390RP4KMFC, 5707365]
[sub-ordered-list, [79.0, 405.0, 385.0, 18.0], shoonya_35s0390RP4KMFC, 5707365]
[sub-ordered-list, [79.0, 423.0, 385.0, 18.0], shoonya_35s0390RP4KMFC, 5707365]
[sub-ordered-list, [79.0, 441.0, 385.0, 18.0], shoonya_35s0390RP4KMFC, 5707365]
[sub-ordered-list, [79.0, 459.0, 385.0, 18.0], shoonya_35s0390RP4KMFC, 5707365]
[sub-ordered-list, [79.0, 477.0, 385.0, 18.0], shoonya_35s0390RP4KMFC, 5707365]
[placeholder-text, [124.0, 411.0, 325.0, 18.0], shoonya_10sJBA316CNOZO, 5707365]
[placeholder-text, [124.0, 438.0, 325.0, 18.0], shoonya_2sG0ZT1G6QG654, 5707365]
[placeholder-text, [126.0, 465.0, 324.0, 18.0], shoonya_8s22FM1KAYU0GC, 5707365]
[placeholder-text, [122.0, 492.0, 334.0, 18.0], shoonya_12s5L1QDAFCK0M, 5707365]
[placeholder-text, [81.0, 622.0, 234.0, 18.0], shoonya_26sAW3X5F7W0OU, 5707365]
[placeholder-text, [81.0, 622.0, 234.0, 18.0], VXBbdAHz26, 5707365]
[placeholder-text, [360.0, 705.0, 132.0, 18.0], MUCeRlxUZd, 5707365]
[placeholder-text, [360.0, 723.0, 132.0, 18.0], MUCeRlxUZd, 5707365]
[placeholder-text, [360.0, 741.0, 132.0, 18.0], MUCeRlxUZd, 5707365]
[placeholder-text, [360.0, 759.0, 132.0, 18.0], MUCeRlxUZd, 5707365]
