[1755, 1241]
[folio, [141.0, 172.0, 470.0, 36.0], YzkiuAL0ow, 5705059]
[website-link, [253.0, 329.0, 172.0, 18.0], AGiCLtEc_a, 5705059]
[flag, [196.0, 394.0, 333.0, 36.0], shoonya_6sQQ72NG56ZGHK, 5705059]
[flag, [196.0, 430.0, 333.0, 36.0], shoonya_6sQQ72NG56ZGHK, 5705059]
[headline, [201.0, 526.0, 847.0, 37.5], shoonya_3sJ7FM5BX6GJ5V, 5705059]
[paragraph, [531.0, 625.0, 520.0, 36.0], cBrXsbq3gs, 5705059]
[paragraph, [531.0, 661.0, 520.0, 36.0], cBrXsbq3gs, 5705059]
[paragraph, [531.0, 697.0, 520.0, 36.0], cBrXsbq3gs, 5705059]
[contact-info, [531.0, 865.0, 340.0, 36.0], u0eAcfQ-5M, 5705059]
[contact-info, [531.0, 901.0, 340.0, 36.0], u0eAcfQ-5M, 5705059]
[contact-info, [531.0, 937.0, 340.0, 36.0], u0eAcfQ-5M, 5705059]
[contact-info, [531.0, 973.0, 340.0, 36.0], u0eAcfQ-5M, 5705059]
[contact-info, [531.0, 1009.0, 340.0, 36.0], u0eAcfQ-5M, 5705059]
[section-title, [516.0, 1110.0, 282.0, 49.5], Y8QYNVou67, 5705059]
[contact-info, [538.0, 1170.0, 516.0, 36.0], shoonya_5sTSVJCUF6OJ1Q, 5705059]
[contact-info, [538.0, 1206.0, 516.0, 36.0], shoonya_5sTSVJCUF6OJ1Q, 5705059]
[contact-info, [538.0, 1242.0, 516.0, 36.0], shoonya_5sTSVJCUF6OJ1Q, 5705059]
[contact-info, [538.0, 1278.0, 516.0, 36.0], shoonya_5sTSVJCUF6OJ1Q, 5705059]
[contact-info, [186.0, 1413.0, 875.0, 36.0], 80AtIUlUTZ, 5705059]
[contact-info, [186.0, 1449.0, 875.0, 36.0], 80AtIUlUTZ, 5705059]
[folio, [511.0, 1494.0, 163.0, 36.0], cmCG6AYyfu, 5705059]
[website-link, [131.0, 1543.0, 315.0, 18.0], wtWbERiQaq, 5705059]
