[540, 960]
[section-title, [58.0, 54.0, 856.0, 30.0], shoonya_2s9OIS90HS04UT, 5715605]
[section-title, [58.0, 84.0, 856.0, 30.0], shoonya_2s9OIS90HS04UT, 5715605]
[unordered-list, [23.0, 159.0, 898.0, 18.0], shoonya_0sWGTDI5IXJ85R, 5715605]
[unordered-list, [23.0, 177.0, 898.0, 18.0], shoonya_0sWGTDI5IXJ85R, 5715605]
[unordered-list, [23.0, 195.0, 898.0, 18.0], shoonya_0sWGTDI5IXJ85R, 5715605]
[unordered-list, [23.0, 213.0, 898.0, 18.0], shoonya_0sWGTDI5IXJ85R, 5715605]
[unordered-list, [23.0, 231.0, 898.0, 18.0], shoonya_0sWGTDI5IXJ85R, 5715605]
[unordered-list, [23.0, 249.0, 898.0, 18.0], shoonya_0sWGTDI5IXJ85R, 5715605]
[unordered-list, [23.0, 267.0, 898.0, 18.0], shoonya_0sWGTDI5IXJ85R, 5715605]
[unordered-list, [23.0, 285.0, 898.0, 18.0], shoonya_0sWGTDI5IXJ85R, 5715605]
[unordered-list, [23.0, 303.0, 898.0, 18.0], shoonya_0sWGTDI5IXJ85R, 5715605]
[unordered-list, [23.0, 321.0, 898.0, 18.0], shoonya_0sWGTDI5IXJ85R, 5715605]
[unordered-list, [23.0, 339.0, 898.0, 18.0], shoonya_0sWGTDI5IXJ85R, 5715605]
[folio, [867.0, 489.0, 87.0, 18.0], rmIP97KmAc, 5715605]
[folio, [867.0, 507.0, 87.0, 18.0], rmIP97KmAc, 5715605]
[folio, [4.0, 495.0, 109.0, 18.0], shoonya_6sGXLT9SOS8PMN, 5715605]
[folio, [4.0, 513.0, 109.0, 18.0], shoonya_6sGXLT9SOS8PMN, 5715605]
