[1625, 1211]
[section-title, [71.0, 84.0, 1045.0, 49.5], shoonya_1sNKDMGJEGD4EY, 5742605]
[sub-section-title, [113.0, 154.0, 980.0, 36.0], yoIIa0ADzr, 5742605]
[sub-section-title, [113.0, 190.0, 980.0, 36.0], yoIIa0ADzr, 5742605]
[paragraph, [69.0, 249.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [69.0, 285.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [69.0, 321.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [69.0, 357.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [69.0, 393.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [69.0, 429.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [69.0, 465.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [69.0, 501.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [69.0, 537.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [69.0, 573.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [69.0, 609.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [69.0, 645.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [69.0, 681.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [69.0, 717.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [69.0, 753.0, 351.0, 36.0], shoonya_0sARWUTVEIMPG9, 5742605]
[paragraph, [431.0, 249.0, 339.0, 36.0], LTmWsQFbkO, 5742605]
[paragraph, [431.0, 285.0, 339.0, 36.0], LTmWsQFbkO, 5742605]
[paragraph, [431.0, 321.0, 339.0, 36.0], LTmWsQFbkO, 5742605]
[paragraph, [431.0, 357.0, 339.0, 36.0], LTmWsQFbkO, 5742605]
[paragraph, [431.0, 393.0, 339.0, 36.0], LTmWsQFbkO, 5742605]
[paragraph, [431.0, 429.0, 339.0, 36.0], LTmWsQFbkO, 5742605]
