[1394, 1376]
[headline, [86.0, 459.0, 672.0, 25.5], shoonya_4sI4RJ0XI01QQ0, 5725637]
[headline, [86.0, 484.5, 672.0, 25.5], shoonya_4sI4RJ0XI01QQ0, 5725637]
[paragraph, [82.0, 554.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [82.0, 572.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [82.0, 590.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [82.0, 608.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [82.0, 626.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [82.0, 644.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [82.0, 662.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [82.0, 680.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [82.0, 698.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [82.0, 716.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [82.0, 734.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [82.0, 752.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [82.0, 770.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [82.0, 788.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [82.0, 806.0, 400.0, 18.0], shoonya_3s4NBZRVQPWUBH, 5725637]
[paragraph, [509.0, 554.0, 405.0, 18.0], shoonya_6sKTYGWENMZK5B, 5725637]
[paragraph, [509.0, 572.0, 405.0, 18.0], shoonya_6sKTYGWENMZK5B, 5725637]
[paragraph, [509.0, 590.0, 405.0, 18.0], shoonya_6sKTYGWENMZK5B, 5725637]
[paragraph, [509.0, 608.0, 405.0, 18.0], shoonya_6sKTYGWENMZK5B, 5725637]
[paragraph, [509.0, 626.0, 405.0, 18.0], shoonya_6sKTYGWENMZK5B, 5725637]
[paragraph, [510.0, 683.0, 403.0, 18.0], shoonya_8sO4NB7NV3ZHE6, 5725637]
[paragraph, [510.0, 701.0, 403.0, 18.0], shoonya_8sO4NB7NV3ZHE6, 5725637]
[paragraph, [510.0, 719.0, 403.0, 18.0], shoonya_8sO4NB7NV3ZHE6, 5725637]
[paragraph, [510.0, 753.0, 382.0, 18.0], shoonya_9sQGB987EALZOQ, 5725637]
[paragraph, [510.0, 771.0, 382.0, 18.0], shoonya_9sQGB987EALZOQ, 5725637]
[paragraph, [510.0, 789.0, 382.0, 18.0], shoonya_9sQGB987EALZOQ, 5725637]
[paragraph, [510.0, 807.0, 382.0, 18.0], shoonya_9sQGB987EALZOQ, 5725637]
[paragraph, [84.0, 840.0, 400.0, 18.0], shoonya_1s4MAXX805KPPH, 5725637]
[paragraph, [84.0, 858.0, 400.0, 18.0], shoonya_1s4MAXX805KPPH, 5725637]
[paragraph, [84.0, 876.0, 400.0, 18.0], shoonya_1s4MAXX805KPPH, 5725637]
[paragraph, [84.0, 894.0, 400.0, 18.0], shoonya_1s4MAXX805KPPH, 5725637]
[paragraph, [84.0, 912.0, 400.0, 18.0], shoonya_1s4MAXX805KPPH, 5725637]
[paragraph, [84.0, 930.0, 400.0, 18.0], shoonya_1s4MAXX805KPPH, 5725637]
[paragraph, [84.0, 948.0, 400.0, 18.0], shoonya_1s4MAXX805KPPH, 5725637]
[paragraph, [84.0, 966.0, 400.0, 18.0], shoonya_1s4MAXX805KPPH, 5725637]
[paragraph, [84.0, 984.0, 400.0, 18.0], shoonya_1s4MAXX805KPPH, 5725637]
[paragraph, [951.0, 841.0, 357.0, 18.0], Yf3OzLwT7i, 5725637]
[paragraph, [951.0, 859.0, 357.0, 18.0], Yf3OzLwT7i, 5725637]
[paragraph, [951.0, 877.0, 357.0, 18.0], Yf3OzLwT7i, 5725637]
[paragraph, [951.0, 895.0, 357.0, 18.0], Yf3OzLwT7i, 5725637]
[paragraph, [951.0, 913.0, 357.0, 18.0], Yf3OzLwT7i, 5725637]
[paragraph, [511.0, 852.0, 391.0, 18.0], shoonya_2sAFG6ROQZY114, 5725637]
[paragraph, [511.0, 870.0, 391.0, 18.0], shoonya_2sAFG6ROQZY114, 5725637]
[paragraph, [511.0, 888.0, 391.0, 18.0], shoonya_2sAFG6ROQZY114, 5725637]
[paragraph, [511.0, 906.0, 391.0, 18.0], shoonya_2sAFG6ROQZY114, 5725637]
[paragraph, [511.0, 924.0, 391.0, 18.0], shoonya_2sAFG6ROQZY114, 5725637]
[paragraph, [511.0, 942.0, 391.0, 18.0], shoonya_2sAFG6ROQZY114, 5725637]
[paragraph, [958.0, 958.0, 131.0, 18.0], shoonya_10sPOT9OZLCPYS, 5725637]
