[1684, 1191]
[folio, [352.0, 95.0, 382.0, 36.0], sGvBWJtTUg, 6464423]
[folio, [352.0, 131.0, 382.0, 36.0], sGvBWJtTUg, 6464423]
[paragraph, [78.0, 193.0, 1025.0, 36.0], RPRmsQGUog, 6464423]
[paragraph, [78.0, 229.0, 1025.0, 36.0], RPRmsQGUog, 6464423]
[paragraph, [78.0, 265.0, 1025.0, 36.0], RPRmsQGUog, 6464423]
[paragraph, [78.0, 301.0, 1025.0, 36.0], RPRmsQGUog, 6464423]
[paragraph, [78.0, 337.0, 1025.0, 36.0], RPRmsQGUog, 6464423]
[paragraph, [78.0, 373.0, 1025.0, 36.0], RPRmsQGUog, 6464423]
[paragraph, [78.0, 409.0, 1025.0, 36.0], RPRmsQGUog, 6464423]
[paragraph, [78.0, 445.0, 1025.0, 36.0], RPRmsQGUog, 6464423]
[paragraph, [78.0, 481.0, 1025.0, 36.0], RPRmsQGUog, 6464423]
[paragraph, [78.0, 517.0, 1025.0, 36.0], RPRmsQGUog, 6464423]
[paragraph, [78.0, 553.0, 1025.0, 36.0], RPRmsQGUog, 6464423]
[paragraph, [78.0, 589.0, 1025.0, 36.0], RPRmsQGUog, 6464423]
[paragraph, [78.0, 625.0, 1025.0, 36.0], RPRmsQGUog, 6464423]
[paragraph, [78.0, 661.0, 1025.0, 36.0], RPRmsQGUog, 6464423]
[section-title, [314.0, 710.0, 580.0, 49.5], vABqY7Jv1p, 6464423]
[paragraph, [87.0, 786.0, 1013.0, 36.0], FfLCOJlJD6, 6464423]
[paragraph, [87.0, 822.0, 1013.0, 36.0], FfLCOJlJD6, 6464423]
[paragraph, [87.0, 858.0, 1013.0, 36.0], FfLCOJlJD6, 6464423]
[paragraph, [87.0, 894.0, 1013.0, 36.0], FfLCOJlJD6, 6464423]
[paragraph, [87.0, 930.0, 1013.0, 36.0], FfLCOJlJD6, 6464423]
[paragraph, [139.0, 990.0, 845.0, 36.0], BHQdfloLDk, 6464423]
[paragraph, [139.0, 1026.0, 845.0, 36.0], BHQdfloLDk, 6464423]
[paragraph, [139.0, 1062.0, 845.0, 36.0], BHQdfloLDk, 6464423]
[paragraph, [89.0, 1115.0, 1013.0, 36.0], D2vDv-DNPa, 6464423]
[paragraph, [89.0, 1151.0, 1013.0, 36.0], D2vDv-DNPa, 6464423]
[paragraph, [89.0, 1187.0, 1013.0, 36.0], D2vDv-DNPa, 6464423]
[paragraph, [89.0, 1223.0, 1013.0, 36.0], D2vDv-DNPa, 6464423]
[section-title, [254.0, 1295.0, 707.0, 49.5], rDxQs1Kd51, 6464423]
[paragraph, [90.0, 1366.0, 1022.0, 36.0], Ho4doOvgCH, 6464423]
[paragraph, [90.0, 1402.0, 1022.0, 36.0], Ho4doOvgCH, 6464423]
[paragraph, [90.0, 1438.0, 1022.0, 36.0], Ho4doOvgCH, 6464423]
