[2339, 1653]
[sub-section-title, [297.0, 304.0, 1063.0, 55.5], shoonya_4sRXMGWS9TFOPD, 5687115]
[section-title, [245.0, 534.0, 279.0, 52.5], shoonya_3sQXMD4ATQTMOI, 5687115]
[paragraph, [236.0, 606.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 642.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 678.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 714.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 750.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 786.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 822.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 858.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 894.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 930.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 966.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 1002.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 1038.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 1074.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 1110.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 1146.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 1182.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [236.0, 1218.0, 1177.0, 36.0], shoonya_0sVIK01S8IRIK0, 5687115]
[paragraph, [235.0, 1390.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1426.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1462.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1498.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1534.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1570.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1606.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1642.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1678.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1714.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1750.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1786.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1822.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1858.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1894.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1930.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 1966.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
[paragraph, [235.0, 2002.0, 1177.0, 36.0], shoonya_1s9YCMDUHQJ9NK, 5687115]
