[1650, 1050]
[section-title, [476.0, 102.0, 152.0, 49.5], shoonya_3s6ZNYWBFKU8LC, 5732328]
[paragraph, [120.0, 157.0, 817.0, 36.0], gv4uDLNYRc, 5732328]
[paragraph, [120.0, 193.0, 817.0, 36.0], gv4uDLNYRc, 5732328]
[paragraph, [124.0, 263.0, 803.0, 36.0], HtO9bhB6fK, 5732328]
[paragraph, [124.0, 299.0, 803.0, 36.0], HtO9bhB6fK, 5732328]
[paragraph, [123.0, 372.0, 783.0, 36.0], 0wM7_bg4tk, 5732328]
[paragraph, [123.0, 408.0, 783.0, 36.0], 0wM7_bg4tk, 5732328]
[paragraph, [124.0, 470.0, 792.0, 36.0], ImG5kAWkpi, 5732328]
[paragraph, [124.0, 506.0, 792.0, 36.0], ImG5kAWkpi, 5732328]
[paragraph, [126.0, 727.0, 832.0, 36.0], shoonya_6sWCAB0R2FCE6L, 5732328]
[paragraph, [131.0, 781.0, 834.0, 36.0], 5A-6hhEzc5, 5732328]
[paragraph, [131.0, 817.0, 834.0, 36.0], 5A-6hhEzc5, 5732328]
[paragraph, [121.0, 885.0, 826.0, 36.0], X5DElVmRuV, 5732328]
[paragraph, [121.0, 921.0, 826.0, 36.0], X5DElVmRuV, 5732328]
[paragraph, [112.0, 984.0, 752.0, 36.0], ltylqiU36L, 5732328]
[paragraph, [112.0, 1020.0, 752.0, 36.0], ltylqiU36L, 5732328]
[paragraph, [112.0, 1056.0, 752.0, 36.0], ltylqiU36L, 5732328]
[paragraph, [177.0, 1242.0, 561.0, 36.0], vwYqbDWBof, 5732328]
[paragraph, [177.0, 1278.0, 561.0, 36.0], vwYqbDWBof, 5732328]
[paragraph, [190.0, 1350.0, 555.0, 36.0], oI5Jeysmpo, 5732328]
[paragraph, [190.0, 1386.0, 555.0, 36.0], oI5Jeysmpo, 5732328]
[folio, [500.0, 1488.0, 143.0, 36.0], shoonya_2sC7SJLGLD3Q2A, 5732328]
