[2339, 1653]
[paragraph, [325.0, 231.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 267.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 303.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 339.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 375.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 411.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 447.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 483.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 519.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 555.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 591.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 627.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 663.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 699.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 735.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 771.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 807.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [325.0, 843.0, 1134.0, 36.0], shoonya_0sKNIWMGSDUQPV, 5733918]
[paragraph, [328.0, 898.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 934.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 970.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1006.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1042.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1078.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1114.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1150.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1186.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1222.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1258.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1294.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1330.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1366.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1402.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1438.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1474.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1510.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [328.0, 1546.0, 1138.0, 36.0], shoonya_2sNDC66PTHABIQ, 5733918]
[paragraph, [324.0, 1623.0, 1138.0, 36.0], shoonya_1sBPM085GW4B5P, 5733918]
[paragraph, [324.0, 1659.0, 1138.0, 36.0], shoonya_1sBPM085GW4B5P, 5733918]
[paragraph, [324.0, 1695.0, 1138.0, 36.0], shoonya_1sBPM085GW4B5P, 5733918]
[paragraph, [324.0, 1731.0, 1138.0, 36.0], shoonya_1sBPM085GW4B5P, 5733918]
[paragraph, [324.0, 1767.0, 1138.0, 36.0], shoonya_1sBPM085GW4B5P, 5733918]
[paragraph, [324.0, 1803.0, 1138.0, 36.0], shoonya_1sBPM085GW4B5P, 5733918]
[paragraph, [324.0, 1839.0, 1138.0, 36.0], shoonya_1sBPM085GW4B5P, 5733918]
[paragraph, [324.0, 1875.0, 1138.0, 36.0], shoonya_1sBPM085GW4B5P, 5733918]
[paragraph, [324.0, 1911.0, 1138.0, 36.0], shoonya_1sBPM085GW4B5P, 5733918]
[paragraph, [324.0, 1947.0, 1138.0, 36.0], shoonya_1sBPM085GW4B5P, 5733918]
[paragraph, [324.0, 1983.0, 1138.0, 36.0], shoonya_1sBPM085GW4B5P, 5733918]
[paragraph, [324.0, 2019.0, 1138.0, 36.0], shoonya_1sBPM085GW4B5P, 5733918]
[paragraph, [324.0, 2055.0, 1138.0, 36.0], shoonya_1sBPM085GW4B5P, 5733918]
[folio, [1180.0, 2153.0, 207.0, 36.0], E3vfK9moe2, 5733918]
