[2339, 1656]
[paragraph, [148.0, 81.0, 705.0, 36.0], shoonya_6sXW3TA8CI0WM5, 5749510]
[paragraph, [148.0, 117.0, 705.0, 36.0], shoonya_6sXW3TA8CI0WM5, 5749510]
[paragraph, [148.0, 153.0, 705.0, 36.0], shoonya_6sXW3TA8CI0WM5, 5749510]
[paragraph, [883.0, 88.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 124.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 160.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 196.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 232.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 268.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 304.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 340.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 376.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 412.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 448.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 484.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 520.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 556.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 592.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 628.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 664.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 700.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [883.0, 736.0, 704.0, 36.0], shoonya_1sSJOIJYZ3NEE4, 5749510]
[paragraph, [148.0, 198.0, 705.0, 36.0], 17X30CcHkw, 5749510]
[paragraph, [148.0, 234.0, 705.0, 36.0], 17X30CcHkw, 5749510]
[paragraph, [138.0, 305.0, 705.0, 36.0], drDxGP1GPb, 5749510]
[paragraph, [138.0, 341.0, 705.0, 36.0], drDxGP1GPb, 5749510]
[paragraph, [138.0, 377.0, 705.0, 36.0], drDxGP1GPb, 5749510]
[paragraph, [138.0, 413.0, 705.0, 36.0], drDxGP1GPb, 5749510]
[paragraph, [151.0, 463.0, 702.0, 36.0], shoonya_4sRA006RC83SP8, 5749510]
[paragraph, [151.0, 499.0, 702.0, 36.0], shoonya_4sRA006RC83SP8, 5749510]
[paragraph, [151.0, 535.0, 702.0, 36.0], shoonya_4sRA006RC83SP8, 5749510]
[paragraph, [151.0, 571.0, 702.0, 36.0], shoonya_4sRA006RC83SP8, 5749510]
