[1650, 1275]
[folio, [914.0, 44.0, 237.0, 36.0], wRlC7Zedlv, 5775217]
[paragraph, [139.0, 161.0, 984.0, 36.0], shoonya_4sHH8I74MIHDRB, 5775217]
[paragraph, [139.0, 197.0, 984.0, 36.0], shoonya_4sHH8I74MIHDRB, 5775217]
[paragraph, [146.0, 259.0, 976.0, 36.0], shoonya_5sCK36WUJZKANM, 5775217]
[paragraph, [146.0, 295.0, 976.0, 36.0], shoonya_5sCK36WUJZKANM, 5775217]
[paragraph, [146.0, 359.0, 962.0, 36.0], shoonya_1sZ8N4JC1TZAL8, 5775217]
[paragraph, [146.0, 395.0, 962.0, 36.0], shoonya_1sZ8N4JC1TZAL8, 5775217]
[paragraph, [146.0, 431.0, 962.0, 36.0], shoonya_1sZ8N4JC1TZAL8, 5775217]
[paragraph, [146.0, 467.0, 962.0, 36.0], shoonya_1sZ8N4JC1TZAL8, 5775217]
[section-title, [164.0, 546.0, 280.0, 49.5], cqRxjWfOTE, 5775217]
[paragraph, [166.0, 633.0, 913.0, 36.0], shoonya_3sHH789PJT6BRM, 5775217]
[paragraph, [166.0, 669.0, 913.0, 36.0], shoonya_3sHH789PJT6BRM, 5775217]
[paragraph, [166.0, 705.0, 913.0, 36.0], shoonya_3sHH789PJT6BRM, 5775217]
[paragraph, [166.0, 741.0, 913.0, 36.0], shoonya_3sHH789PJT6BRM, 5775217]
[paragraph, [166.0, 777.0, 913.0, 36.0], shoonya_3sHH789PJT6BRM, 5775217]
[website-link, [528.0, 751.0, 293.0, 18.0], shoonya_9s2MTCFVH0YNKL, 5775217]
[website-link, [528.0, 769.0, 293.0, 18.0], shoonya_9s2MTCFVH0YNKL, 5775217]
[paragraph, [131.0, 924.0, 998.0, 36.0], shoonya_0s2I7U6QBLM7DH, 5775217]
[paragraph, [131.0, 960.0, 998.0, 36.0], shoonya_0s2I7U6QBLM7DH, 5775217]
[paragraph, [131.0, 996.0, 998.0, 36.0], shoonya_0s2I7U6QBLM7DH, 5775217]
[paragraph, [131.0, 1032.0, 998.0, 36.0], shoonya_0s2I7U6QBLM7DH, 5775217]
[paragraph, [131.0, 1068.0, 998.0, 36.0], shoonya_0s2I7U6QBLM7DH, 5775217]
[paragraph, [131.0, 1104.0, 998.0, 36.0], shoonya_0s2I7U6QBLM7DH, 5775217]
[paragraph, [131.0, 1140.0, 998.0, 36.0], shoonya_0s2I7U6QBLM7DH, 5775217]
[paragraph, [131.0, 1175.0, 1012.0, 36.0], shoonya_2sE03MC047Z5K8, 5775217]
[paragraph, [131.0, 1211.0, 1012.0, 36.0], shoonya_2sE03MC047Z5K8, 5775217]
[paragraph, [131.0, 1247.0, 1012.0, 36.0], shoonya_2sE03MC047Z5K8, 5775217]
[paragraph, [131.0, 1283.0, 1012.0, 36.0], shoonya_2sE03MC047Z5K8, 5775217]
[paragraph, [131.0, 1319.0, 1012.0, 36.0], shoonya_2sE03MC047Z5K8, 5775217]
[paragraph, [131.0, 1355.0, 1012.0, 36.0], shoonya_2sE03MC047Z5K8, 5775217]
[footnote, [148.0, 1570.0, 525.0, 36.0], oDfb1ZpMsl, 5775217]
[website-link, [422.0, 1576.0, 240.0, 18.0], X4E2Dzdb5f, 5775217]
