[1350, 900]
[folio, [525.0, 174.0, 185.0, 18.0], 3cn1ueUCui, 5760222]
[paragraph, [172.0, 224.0, 552.0, 18.0], shoonya_0sMEIBXQJDQP0X, 5760222]
[paragraph, [172.0, 242.0, 552.0, 18.0], shoonya_0sMEIBXQJDQP0X, 5760222]
[paragraph, [172.0, 260.0, 552.0, 18.0], shoonya_0sMEIBXQJDQP0X, 5760222]
[paragraph, [172.0, 278.0, 552.0, 18.0], shoonya_0sMEIBXQJDQP0X, 5760222]
[paragraph, [172.0, 296.0, 552.0, 18.0], shoonya_0sMEIBXQJDQP0X, 5760222]
[paragraph, [172.0, 314.0, 552.0, 18.0], shoonya_0sMEIBXQJDQP0X, 5760222]
[paragraph, [172.0, 332.0, 552.0, 18.0], shoonya_0sMEIBXQJDQP0X, 5760222]
[paragraph, [172.0, 350.0, 552.0, 18.0], shoonya_0sMEIBXQJDQP0X, 5760222]
[paragraph, [172.0, 368.0, 552.0, 18.0], shoonya_0sMEIBXQJDQP0X, 5760222]
[paragraph, [172.0, 386.0, 552.0, 18.0], shoonya_0sMEIBXQJDQP0X, 5760222]
[paragraph, [172.0, 404.0, 552.0, 18.0], shoonya_0sMEIBXQJDQP0X, 5760222]
[paragraph, [172.0, 422.0, 552.0, 18.0], shoonya_0sMEIBXQJDQP0X, 5760222]
[paragraph, [166.0, 463.0, 555.0, 18.0], shoonya_1s2KNMJUYMIKHJ, 5760222]
[paragraph, [166.0, 481.0, 555.0, 18.0], shoonya_1s2KNMJUYMIKHJ, 5760222]
[paragraph, [166.0, 499.0, 555.0, 18.0], shoonya_1s2KNMJUYMIKHJ, 5760222]
[paragraph, [166.0, 517.0, 555.0, 18.0], shoonya_1s2KNMJUYMIKHJ, 5760222]
[paragraph, [166.0, 535.0, 555.0, 18.0], shoonya_1s2KNMJUYMIKHJ, 5760222]
[paragraph, [166.0, 553.0, 555.0, 18.0], shoonya_1s2KNMJUYMIKHJ, 5760222]
[paragraph, [166.0, 571.0, 555.0, 18.0], shoonya_1s2KNMJUYMIKHJ, 5760222]
[paragraph, [166.0, 589.0, 555.0, 18.0], shoonya_1s2KNMJUYMIKHJ, 5760222]
[paragraph, [163.0, 609.0, 557.0, 18.0], KC6VEJ4ZLY, 5760222]
[paragraph, [163.0, 627.0, 557.0, 18.0], KC6VEJ4ZLY, 5760222]
[paragraph, [163.0, 645.0, 557.0, 18.0], KC6VEJ4ZLY, 5760222]
[paragraph, [163.0, 663.0, 557.0, 18.0], KC6VEJ4ZLY, 5760222]
[paragraph, [163.0, 681.0, 557.0, 18.0], KC6VEJ4ZLY, 5760222]
[paragraph, [163.0, 699.0, 557.0, 18.0], KC6VEJ4ZLY, 5760222]
[paragraph, [163.0, 717.0, 557.0, 18.0], KC6VEJ4ZLY, 5760222]
[paragraph, [158.0, 748.0, 557.0, 18.0], qGK454IdG6, 5760222]
[paragraph, [158.0, 766.0, 557.0, 18.0], qGK454IdG6, 5760222]
[paragraph, [158.0, 784.0, 557.0, 18.0], qGK454IdG6, 5760222]
[paragraph, [158.0, 802.0, 557.0, 18.0], qGK454IdG6, 5760222]
[paragraph, [158.0, 820.0, 557.0, 18.0], qGK454IdG6, 5760222]
[paragraph, [158.0, 838.0, 557.0, 18.0], qGK454IdG6, 5760222]
[paragraph, [158.0, 856.0, 557.0, 18.0], qGK454IdG6, 5760222]
[paragraph, [162.0, 896.0, 554.0, 18.0], 1RlTA0yMgt, 5760222]
[paragraph, [162.0, 914.0, 554.0, 18.0], 1RlTA0yMgt, 5760222]
[paragraph, [162.0, 932.0, 554.0, 18.0], 1RlTA0yMgt, 5760222]
[paragraph, [162.0, 950.0, 554.0, 18.0], 1RlTA0yMgt, 5760222]
[paragraph, [162.0, 968.0, 554.0, 18.0], 1RlTA0yMgt, 5760222]
[paragraph, [162.0, 986.0, 554.0, 18.0], 1RlTA0yMgt, 5760222]
[paragraph, [157.0, 1012.0, 559.0, 18.0], YDQgENSrkV, 5760222]
[paragraph, [157.0, 1030.0, 559.0, 18.0], YDQgENSrkV, 5760222]
[paragraph, [157.0, 1048.0, 559.0, 18.0], YDQgENSrkV, 5760222]
[paragraph, [157.0, 1066.0, 559.0, 18.0], YDQgENSrkV, 5760222]
[paragraph, [157.0, 1084.0, 559.0, 18.0], YDQgENSrkV, 5760222]
[paragraph, [157.0, 1102.0, 559.0, 18.0], YDQgENSrkV, 5760222]
[paragraph, [157.0, 1120.0, 559.0, 18.0], YDQgENSrkV, 5760222]
