[1650, 1275]
[paragraph, [252.0, 169.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 205.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 241.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 277.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 313.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 349.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 385.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 421.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 457.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 493.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 529.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 565.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 601.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 637.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 673.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 709.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 745.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [252.0, 781.0, 841.0, 36.0], fYOlKl0DSS, 6470958]
[paragraph, [251.0, 850.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 886.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 922.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 958.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 994.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 1030.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 1066.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 1102.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 1138.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 1174.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 1210.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 1246.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 1282.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 1318.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 1354.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 1390.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 1426.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
[paragraph, [251.0, 1462.0, 845.0, 36.0], shoonya_0sWD01EX8COVHB, 6470958]
