[1987, 1270]
[folio, [579.0, 120.0, 157.0, 36.0], shoonya_7sZWRXDWMQM7GW, 5683288]
[paragraph, [129.0, 197.0, 241.0, 36.0], shoonya_6sKZJ2W4YSMPM2, 5683288]
[paragraph, [125.0, 250.0, 1011.0, 36.0], shoonya_0s53PPJSX2U5V2, 5683288]
[paragraph, [125.0, 286.0, 1011.0, 36.0], shoonya_0s53PPJSX2U5V2, 5683288]
[paragraph, [125.0, 322.0, 1011.0, 36.0], shoonya_0s53PPJSX2U5V2, 5683288]
[paragraph, [125.0, 358.0, 1011.0, 36.0], shoonya_0s53PPJSX2U5V2, 5683288]
[paragraph, [125.0, 394.0, 1011.0, 36.0], shoonya_0s53PPJSX2U5V2, 5683288]
[paragraph, [128.0, 465.0, 1009.0, 36.0], rVruuBLsAV, 5683288]
[paragraph, [128.0, 501.0, 1009.0, 36.0], rVruuBLsAV, 5683288]
[paragraph, [130.0, 571.0, 1007.0, 36.0], shoonya_5sBI8JP1CE4MP1, 5683288]
[paragraph, [130.0, 607.0, 1007.0, 36.0], shoonya_5sBI8JP1CE4MP1, 5683288]
[paragraph, [130.0, 643.0, 1007.0, 36.0], shoonya_5sBI8JP1CE4MP1, 5683288]
[paragraph, [130.0, 679.0, 1007.0, 36.0], shoonya_5sBI8JP1CE4MP1, 5683288]
[paragraph, [130.0, 715.0, 1007.0, 36.0], shoonya_5sBI8JP1CE4MP1, 5683288]
[paragraph, [128.0, 781.0, 1008.0, 36.0], ax23uBzMql, 5683288]
[paragraph, [128.0, 817.0, 1008.0, 36.0], ax23uBzMql, 5683288]
[paragraph, [126.0, 888.0, 1016.0, 36.0], shoonya_3sPXQXD06HZY93, 5683288]
[paragraph, [126.0, 924.0, 1016.0, 36.0], shoonya_3sPXQXD06HZY93, 5683288]
[paragraph, [126.0, 960.0, 1016.0, 36.0], shoonya_3sPXQXD06HZY93, 5683288]
[paragraph, [126.0, 996.0, 1016.0, 36.0], shoonya_3sPXQXD06HZY93, 5683288]
[paragraph, [126.0, 1032.0, 1016.0, 36.0], shoonya_3sPXQXD06HZY93, 5683288]
[paragraph, [126.0, 1068.0, 1016.0, 36.0], shoonya_3sPXQXD06HZY93, 5683288]
[paragraph, [126.0, 1104.0, 1016.0, 36.0], shoonya_3sPXQXD06HZY93, 5683288]
[paragraph, [126.0, 1140.0, 1016.0, 36.0], shoonya_3sPXQXD06HZY93, 5683288]
[paragraph, [126.0, 1176.0, 1016.0, 36.0], shoonya_3sPXQXD06HZY93, 5683288]
[paragraph, [130.0, 1251.0, 1011.0, 36.0], shoonya_2s7X905DDCX5MR, 5683288]
[paragraph, [130.0, 1287.0, 1011.0, 36.0], shoonya_2s7X905DDCX5MR, 5683288]
[paragraph, [130.0, 1323.0, 1011.0, 36.0], shoonya_2s7X905DDCX5MR, 5683288]
[paragraph, [130.0, 1359.0, 1011.0, 36.0], shoonya_2s7X905DDCX5MR, 5683288]
[paragraph, [130.0, 1395.0, 1011.0, 36.0], shoonya_2s7X905DDCX5MR, 5683288]
[paragraph, [130.0, 1431.0, 1011.0, 36.0], shoonya_2s7X905DDCX5MR, 5683288]
[paragraph, [130.0, 1467.0, 1011.0, 36.0], shoonya_2s7X905DDCX5MR, 5683288]
[paragraph, [130.0, 1503.0, 1011.0, 36.0], shoonya_2s7X905DDCX5MR, 5683288]
[paragraph, [128.0, 1562.0, 1012.0, 36.0], Xo4-Z2LPNV, 5683288]
[paragraph, [128.0, 1598.0, 1012.0, 36.0], Xo4-Z2LPNV, 5683288]
[paragraph, [128.0, 1634.0, 1012.0, 36.0], Xo4-Z2LPNV, 5683288]
[paragraph, [128.0, 1670.0, 1012.0, 36.0], Xo4-Z2LPNV, 5683288]
[paragraph, [128.0, 1706.0, 1012.0, 36.0], Xo4-Z2LPNV, 5683288]
[paragraph, [128.0, 1742.0, 1012.0, 36.0], Xo4-Z2LPNV, 5683288]
[paragraph, [128.0, 1778.0, 1012.0, 36.0], Xo4-Z2LPNV, 5683288]
[paragraph, [128.0, 1814.0, 1012.0, 36.0], Xo4-Z2LPNV, 5683288]
