[792, 612]
[folio, [212.0, 25.0, 226.0, 18.0], gc3qi_AD3V, 5743924]
[paragraph, [109.0, 95.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 113.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 131.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 149.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 167.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 185.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 203.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 221.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 239.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 257.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 275.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 293.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 311.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 329.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 347.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 365.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 383.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [109.0, 401.0, 433.0, 18.0], FK447KXpR5, 5743924]
[paragraph, [107.0, 427.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 445.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 463.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 481.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 499.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 517.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 535.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 553.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 571.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 589.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 607.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 625.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 643.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 661.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 679.0, 435.0, 18.0], VqCTPnoddq, 5743924]
[paragraph, [107.0, 697.0, 435.0, 18.0], VqCTPnoddq, 5743924]
