[1447, 1063]
[folio, [426.0, 55.0, 213.0, 18.0], shoonya_4sGJOPQF6YC4RB, 5762887]
[paragraph, [91.0, 92.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 110.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 128.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 146.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 164.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 182.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 200.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 218.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 236.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 254.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 272.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 290.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 308.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 326.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 344.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 362.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 380.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 398.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 416.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 434.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 452.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 470.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 488.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 506.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 524.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [91.0, 542.0, 438.0, 18.0], shoonya_5s5NJWFSENGUSI, 5762887]
[paragraph, [536.0, 96.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 114.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 132.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 150.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 168.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 186.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 204.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 222.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 240.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 258.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 276.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 294.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 312.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 330.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 348.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 366.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [536.0, 384.0, 433.0, 18.0], ydei86ORe7, 5762887]
[paragraph, [534.0, 423.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 441.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 459.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 477.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 495.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 513.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 531.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 549.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 567.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 585.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 603.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 621.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 639.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 657.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 675.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [534.0, 693.0, 437.0, 18.0], oB117-ytt0, 5762887]
[paragraph, [89.0, 579.0, 434.0, 18.0], zPVoNZwgLy, 5762887]
[paragraph, [89.0, 597.0, 434.0, 18.0], zPVoNZwgLy, 5762887]
[paragraph, [89.0, 615.0, 434.0, 18.0], zPVoNZwgLy, 5762887]
[paragraph, [89.0, 633.0, 434.0, 18.0], zPVoNZwgLy, 5762887]
[paragraph, [89.0, 651.0, 434.0, 18.0], zPVoNZwgLy, 5762887]
[paragraph, [89.0, 669.0, 434.0, 18.0], zPVoNZwgLy, 5762887]
[paragraph, [89.0, 687.0, 434.0, 18.0], zPVoNZwgLy, 5762887]
