[827, 532]
[folio, [190.0, 97.0, 151.0, 18.0], d0HokyIe1j, 5740350]
[folio, [190.0, 115.0, 151.0, 18.0], d0HokyIe1j, 5740350]
[paragraph, [47.0, 134.0, 439.0, 18.0], Tgf6Wefo87, 5740350]
[paragraph, [47.0, 152.0, 439.0, 18.0], Tgf6Wefo87, 5740350]
[paragraph, [47.0, 170.0, 439.0, 18.0], Tgf6Wefo87, 5740350]
[paragraph, [47.0, 188.0, 439.0, 18.0], Tgf6Wefo87, 5740350]
[paragraph, [47.0, 206.0, 439.0, 18.0], Tgf6Wefo87, 5740350]
[paragraph, [47.0, 224.0, 439.0, 18.0], Tgf6Wefo87, 5740350]
[paragraph, [47.0, 242.0, 439.0, 18.0], Tgf6Wefo87, 5740350]
[paragraph, [47.0, 260.0, 439.0, 18.0], Tgf6Wefo87, 5740350]
[paragraph, [47.0, 278.0, 439.0, 18.0], Tgf6Wefo87, 5740350]
[paragraph, [47.0, 296.0, 439.0, 18.0], Tgf6Wefo87, 5740350]
[paragraph, [47.0, 314.0, 439.0, 18.0], Tgf6Wefo87, 5740350]
[paragraph, [47.0, 332.0, 439.0, 18.0], Tgf6Wefo87, 5740350]
[paragraph, [47.0, 350.0, 439.0, 18.0], Tgf6Wefo87, 5740350]
[paragraph, [48.0, 385.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 403.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 421.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 439.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 457.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 475.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 493.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 511.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 529.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 547.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 565.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 583.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 601.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 619.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 637.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 655.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 673.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 691.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 709.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 727.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[paragraph, [48.0, 745.0, 434.0, 18.0], mfO2SlM6E9, 5740350]
[footnote, [214.0, 787.0, 261.0, 18.0], cHSWEA8de2, 5740350]
