[864, 612]
[paragraph, [80.0, 70.0, 467.0, 18.0], cXt1UZ02gG, 5717670]
[paragraph, [80.0, 88.0, 467.0, 18.0], cXt1UZ02gG, 5717670]
[ordered-list, [59.0, 109.0, 493.0, 18.0], GM1h9FjmgZ, 5717670]
[ordered-list, [59.0, 127.0, 493.0, 18.0], GM1h9FjmgZ, 5717670]
[ordered-list, [59.0, 145.0, 493.0, 18.0], GM1h9FjmgZ, 5717670]
[paragraph, [55.0, 174.0, 496.0, 18.0], 9cyZlJFcs7, 5717670]
[paragraph, [55.0, 192.0, 496.0, 18.0], 9cyZlJFcs7, 5717670]
[paragraph, [55.0, 210.0, 496.0, 18.0], 9cyZlJFcs7, 5717670]
[ordered-list, [52.0, 235.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 253.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 271.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 289.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 307.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 325.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 343.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 361.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 379.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 397.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 415.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 433.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 451.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 469.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 487.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 505.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 523.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 541.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 559.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 577.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 595.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 613.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 631.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 649.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 667.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 685.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 703.0, 505.0, 18.0], eKFwjbNZut, 5717670]
[ordered-list, [52.0, 721.0, 505.0, 18.0], eKFwjbNZut, 5717670]
