[1518, 1075]
[headline, [311.0, 276.0, 661.0, 37.5], shoonya_6sXH12IPIH7XFU, 5722844]
[headline, [311.0, 313.5, 661.0, 37.5], shoonya_6sXH12IPIH7XFU, 5722844]
[sub-headline, [308.0, 361.0, 442.0, 36.0], shoonya_11sI8S5W7ZVAD0, 5722844]
[paragraph, [89.0, 436.0, 433.0, 36.0], shoonya_3sWVZWFKDHFGV6, 5722844]
[paragraph, [89.0, 472.0, 433.0, 36.0], shoonya_3sWVZWFKDHFGV6, 5722844]
[paragraph, [89.0, 508.0, 433.0, 36.0], shoonya_3sWVZWFKDHFGV6, 5722844]
[paragraph, [89.0, 544.0, 433.0, 36.0], shoonya_3sWVZWFKDHFGV6, 5722844]
[paragraph, [89.0, 580.0, 433.0, 36.0], shoonya_3sWVZWFKDHFGV6, 5722844]
[paragraph, [530.0, 436.0, 436.0, 36.0], Rd_4Ev-CUV, 5722844]
[paragraph, [530.0, 472.0, 436.0, 36.0], Rd_4Ev-CUV, 5722844]
[paragraph, [530.0, 508.0, 436.0, 36.0], Rd_4Ev-CUV, 5722844]
[paragraph, [530.0, 544.0, 436.0, 36.0], Rd_4Ev-CUV, 5722844]
[paragraph, [530.0, 580.0, 436.0, 36.0], Rd_4Ev-CUV, 5722844]
[paragraph, [530.0, 616.0, 436.0, 36.0], Rd_4Ev-CUV, 5722844]
[paragraph, [530.0, 652.0, 436.0, 36.0], Rd_4Ev-CUV, 5722844]
[paragraph, [530.0, 688.0, 436.0, 36.0], Rd_4Ev-CUV, 5722844]
[paragraph, [530.0, 724.0, 436.0, 36.0], Rd_4Ev-CUV, 5722844]
[paragraph, [530.0, 760.0, 436.0, 36.0], Rd_4Ev-CUV, 5722844]
[paragraph, [88.0, 632.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 668.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 704.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 740.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 776.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 812.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 848.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 884.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 920.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 956.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 992.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 1028.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 1064.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 1100.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 1136.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 1172.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 1208.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 1244.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [88.0, 1280.0, 432.0, 36.0], K6pTIX3zfL, 5722844]
[paragraph, [526.0, 817.0, 442.0, 36.0], shoonya_0sGDPRIBEFEVPN, 5722844]
[paragraph, [526.0, 853.0, 442.0, 36.0], shoonya_0sGDPRIBEFEVPN, 5722844]
[paragraph, [526.0, 889.0, 442.0, 36.0], shoonya_0sGDPRIBEFEVPN, 5722844]
[paragraph, [526.0, 925.0, 442.0, 36.0], shoonya_0sGDPRIBEFEVPN, 5722844]
[paragraph, [526.0, 961.0, 442.0, 36.0], shoonya_0sGDPRIBEFEVPN, 5722844]
[paragraph, [526.0, 997.0, 442.0, 36.0], shoonya_0sGDPRIBEFEVPN, 5722844]
[paragraph, [526.0, 1033.0, 442.0, 36.0], shoonya_0sGDPRIBEFEVPN, 5722844]
[paragraph, [526.0, 1069.0, 442.0, 36.0], shoonya_0sGDPRIBEFEVPN, 5722844]
[paragraph, [526.0, 1142.0, 440.0, 36.0], shoonya_4sSLEPTFT2DQPZ, 5722844]
[paragraph, [526.0, 1178.0, 440.0, 36.0], shoonya_4sSLEPTFT2DQPZ, 5722844]
[paragraph, [526.0, 1214.0, 440.0, 36.0], shoonya_4sSLEPTFT2DQPZ, 5722844]
[paragraph, [526.0, 1250.0, 440.0, 36.0], shoonya_4sSLEPTFT2DQPZ, 5722844]
[paragraph, [526.0, 1286.0, 440.0, 36.0], shoonya_4sSLEPTFT2DQPZ, 5722844]
[folio, [229.0, 1333.0, 592.0, 36.0], u0qNMEWTqI, 5722844]
[folio, [600.0, 1382.0, 282.0, 36.0], shoonya_10sPPQZH3V9OMO, 5722844]
