[842, 596]
[paragraph, [57.0, 488.0, 472.0, 18.0], 8gUr7fNWvp, 6490567]
[paragraph, [57.0, 506.0, 472.0, 18.0], 8gUr7fNWvp, 6490567]
[paragraph, [57.0, 524.0, 472.0, 18.0], 8gUr7fNWvp, 6490567]
[paragraph, [57.0, 542.0, 472.0, 18.0], 8gUr7fNWvp, 6490567]
[paragraph, [57.0, 560.0, 472.0, 18.0], 8gUr7fNWvp, 6490567]
[paragraph, [57.0, 578.0, 472.0, 18.0], 8gUr7fNWvp, 6490567]
[paragraph, [57.0, 596.0, 472.0, 18.0], 8gUr7fNWvp, 6490567]
[paragraph, [57.0, 614.0, 472.0, 18.0], 8gUr7fNWvp, 6490567]
[paragraph, [57.0, 632.0, 472.0, 18.0], 8gUr7fNWvp, 6490567]
[paragraph, [57.0, 650.0, 472.0, 18.0], 8gUr7fNWvp, 6490567]
[paragraph, [57.0, 668.0, 472.0, 18.0], 8gUr7fNWvp, 6490567]
[paragraph, [57.0, 686.0, 472.0, 18.0], 8gUr7fNWvp, 6490567]
[paragraph, [57.0, 704.0, 472.0, 18.0], 8gUr7fNWvp, 6490567]
[paragraph, [57.0, 722.0, 472.0, 18.0], 8gUr7fNWvp, 6490567]
