[2484, 1767]
[paragraph, [335.0, 370.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 406.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 442.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 478.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 514.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 550.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 586.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 622.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 658.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 694.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 730.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 766.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 802.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 838.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 874.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 910.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [335.0, 946.0, 1235.0, 36.0], shoonya_0sFBMOGSAMII8M, 5754004]
[paragraph, [337.0, 981.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1017.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1053.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1089.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1125.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1161.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1197.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1233.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1269.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1305.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1341.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1377.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1413.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1449.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1485.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1521.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1557.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1593.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1629.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1665.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1701.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1737.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1773.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1809.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1845.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1881.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1917.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1953.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 1989.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 2025.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 2061.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 2097.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 2133.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
[paragraph, [337.0, 2169.0, 1241.0, 36.0], P0VmUii7Xe, 5754004]
