[2200, 1700]
[paragraph, [316.0, 54.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 90.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 126.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 162.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 198.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 234.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 270.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 306.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 342.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 378.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 414.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 450.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 486.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 522.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 558.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 594.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 630.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 666.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 702.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 738.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 774.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 810.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 846.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 882.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 918.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 954.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 990.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 1026.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 1062.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 1098.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 1134.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 1170.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 1206.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 1242.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [316.0, 1278.0, 1101.0, 36.0], shoonya_0s6AKL0UOOO5UH, 5730831]
[paragraph, [315.0, 1330.0, 1089.0, 36.0], shoonya_1s7ZVCXNBCSUB3, 5730831]
[paragraph, [315.0, 1366.0, 1089.0, 36.0], shoonya_1s7ZVCXNBCSUB3, 5730831]
[paragraph, [315.0, 1402.0, 1089.0, 36.0], shoonya_1s7ZVCXNBCSUB3, 5730831]
[paragraph, [315.0, 1438.0, 1089.0, 36.0], shoonya_1s7ZVCXNBCSUB3, 5730831]
[paragraph, [315.0, 1474.0, 1089.0, 36.0], shoonya_1s7ZVCXNBCSUB3, 5730831]
[paragraph, [315.0, 1510.0, 1089.0, 36.0], shoonya_1s7ZVCXNBCSUB3, 5730831]
[paragraph, [315.0, 1546.0, 1089.0, 36.0], shoonya_1s7ZVCXNBCSUB3, 5730831]
[paragraph, [321.0, 1625.0, 1085.0, 36.0], shoonya_2s623S5JJ7K27Q, 5730831]
[paragraph, [321.0, 1661.0, 1085.0, 36.0], shoonya_2s623S5JJ7K27Q, 5730831]
[paragraph, [321.0, 1697.0, 1085.0, 36.0], shoonya_2s623S5JJ7K27Q, 5730831]
[paragraph, [321.0, 1733.0, 1085.0, 36.0], shoonya_2s623S5JJ7K27Q, 5730831]
[paragraph, [321.0, 1769.0, 1085.0, 36.0], shoonya_2s623S5JJ7K27Q, 5730831]
[paragraph, [321.0, 1805.0, 1085.0, 36.0], shoonya_2s623S5JJ7K27Q, 5730831]
[paragraph, [321.0, 1841.0, 1085.0, 36.0], shoonya_2s623S5JJ7K27Q, 5730831]
[paragraph, [321.0, 1877.0, 1085.0, 36.0], shoonya_2s623S5JJ7K27Q, 5730831]
[folio, [303.0, 2004.0, 377.0, 36.0], 8xJl2iBkYh, 5730831]
[folio, [303.0, 2040.0, 377.0, 36.0], 8xJl2iBkYh, 5730831]
