[1425, 1088]
[section-title, [168.0, 106.0, 193.0, 30.0], rkksRcUCqe, 5759068]
[section-title, [168.0, 136.0, 193.0, 30.0], rkksRcUCqe, 5759068]
[ordered-list, [161.0, 175.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 193.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 211.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 229.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 247.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 265.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 283.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 301.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 319.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 337.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 355.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 373.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 391.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 409.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 427.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 445.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 463.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 481.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 499.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[ordered-list, [161.0, 517.0, 802.0, 18.0], pM_cuvqq7c, 5759068]
[folio, [826.0, 1347.0, 153.0, 18.0], Kh_6SA1dSI, 5759068]
