[2339, 1653]
[paragraph, [300.0, 196.0, 1062.0, 36.0], shoonya_5sQFOULN3OBW7Q, 5686062]
[paragraph, [300.0, 232.0, 1062.0, 36.0], shoonya_5sQFOULN3OBW7Q, 5686062]
[paragraph, [300.0, 268.0, 1062.0, 36.0], shoonya_5sQFOULN3OBW7Q, 5686062]
[paragraph, [300.0, 353.0, 1044.0, 36.0], SXVRb8NiBo, 5686062]
[paragraph, [300.0, 389.0, 1044.0, 36.0], SXVRb8NiBo, 5686062]
[paragraph, [300.0, 425.0, 1044.0, 36.0], SXVRb8NiBo, 5686062]
[paragraph, [319.0, 507.0, 1032.0, 36.0], V5rlmtf6IG, 5686062]
[paragraph, [319.0, 543.0, 1032.0, 36.0], V5rlmtf6IG, 5686062]
[paragraph, [319.0, 579.0, 1032.0, 36.0], V5rlmtf6IG, 5686062]
[paragraph, [319.0, 615.0, 1032.0, 36.0], V5rlmtf6IG, 5686062]
[paragraph, [319.0, 651.0, 1032.0, 36.0], V5rlmtf6IG, 5686062]
[paragraph, [319.0, 687.0, 1032.0, 36.0], V5rlmtf6IG, 5686062]
[paragraph, [319.0, 723.0, 1032.0, 36.0], V5rlmtf6IG, 5686062]
[paragraph, [300.0, 808.0, 1046.0, 36.0], TYnQJ3o6nV, 5686062]
[paragraph, [300.0, 844.0, 1046.0, 36.0], TYnQJ3o6nV, 5686062]
[paragraph, [300.0, 880.0, 1046.0, 36.0], TYnQJ3o6nV, 5686062]
[paragraph, [300.0, 916.0, 1046.0, 36.0], TYnQJ3o6nV, 5686062]
[paragraph, [300.0, 952.0, 1046.0, 36.0], TYnQJ3o6nV, 5686062]
[reference, [739.0, 1028.0, 618.0, 36.0], Nw2FJ5xJzk, 5686062]
[paragraph, [223.0, 1104.0, 1212.0, 36.0], shoonya_4sRCIIADS464AB, 5686062]
[paragraph, [223.0, 1140.0, 1212.0, 36.0], shoonya_4sRCIIADS464AB, 5686062]
[paragraph, [223.0, 1176.0, 1212.0, 36.0], shoonya_4sRCIIADS464AB, 5686062]
[paragraph, [223.0, 1212.0, 1212.0, 36.0], shoonya_4sRCIIADS464AB, 5686062]
[paragraph, [223.0, 1248.0, 1212.0, 36.0], shoonya_4sRCIIADS464AB, 5686062]
[paragraph, [223.0, 1284.0, 1212.0, 36.0], shoonya_4sRCIIADS464AB, 5686062]
[paragraph, [223.0, 1320.0, 1212.0, 36.0], shoonya_4sRCIIADS464AB, 5686062]
[paragraph, [223.0, 1356.0, 1212.0, 36.0], shoonya_4sRCIIADS464AB, 5686062]
[paragraph, [223.0, 1392.0, 1212.0, 36.0], shoonya_4sRCIIADS464AB, 5686062]
[paragraph, [225.0, 1555.0, 1211.0, 36.0], shoonya_0sKKTPKDQOG2S9, 5686062]
[paragraph, [225.0, 1591.0, 1211.0, 36.0], shoonya_0sKKTPKDQOG2S9, 5686062]
[paragraph, [225.0, 1627.0, 1211.0, 36.0], shoonya_0sKKTPKDQOG2S9, 5686062]
[paragraph, [225.0, 1663.0, 1211.0, 36.0], shoonya_0sKKTPKDQOG2S9, 5686062]
[paragraph, [225.0, 1699.0, 1211.0, 36.0], shoonya_0sKKTPKDQOG2S9, 5686062]
[paragraph, [225.0, 1735.0, 1211.0, 36.0], shoonya_0sKKTPKDQOG2S9, 5686062]
[paragraph, [225.0, 1771.0, 1211.0, 36.0], shoonya_0sKKTPKDQOG2S9, 5686062]
[paragraph, [225.0, 1807.0, 1211.0, 36.0], shoonya_0sKKTPKDQOG2S9, 5686062]
[paragraph, [225.0, 1843.0, 1211.0, 36.0], shoonya_0sKKTPKDQOG2S9, 5686062]
[paragraph, [225.0, 1879.0, 1211.0, 36.0], shoonya_0sKKTPKDQOG2S9, 5686062]
[paragraph, [225.0, 1915.0, 1211.0, 36.0], shoonya_0sKKTPKDQOG2S9, 5686062]
[paragraph, [225.0, 1951.0, 1211.0, 36.0], shoonya_0sKKTPKDQOG2S9, 5686062]
[reference, [232.0, 2028.0, 1200.0, 36.0], shoonya_1sYU8DKPRMFSDA, 5686062]
[reference, [232.0, 2064.0, 1200.0, 36.0], shoonya_1sYU8DKPRMFSDA, 5686062]
[reference, [232.0, 2100.0, 1200.0, 36.0], shoonya_1sYU8DKPRMFSDA, 5686062]
