[596, 480]
[paragraph, [85.0, 54.0, 312.0, 18.0], shoonya_0s9VVRLXXDYEEQ, 6494239]
[paragraph, [85.0, 72.0, 312.0, 18.0], shoonya_0s9VVRLXXDYEEQ, 6494239]
[paragraph, [85.0, 90.0, 312.0, 18.0], shoonya_0s9VVRLXXDYEEQ, 6494239]
[paragraph, [85.0, 108.0, 312.0, 18.0], shoonya_0s9VVRLXXDYEEQ, 6494239]
[paragraph, [85.0, 126.0, 312.0, 18.0], shoonya_0s9VVRLXXDYEEQ, 6494239]
[paragraph, [85.0, 144.0, 312.0, 18.0], shoonya_0s9VVRLXXDYEEQ, 6494239]
[paragraph, [85.0, 162.0, 312.0, 18.0], shoonya_0s9VVRLXXDYEEQ, 6494239]
[paragraph, [91.0, 190.0, 310.0, 18.0], kt6rRVR0Bh, 6494239]
[paragraph, [91.0, 208.0, 310.0, 18.0], kt6rRVR0Bh, 6494239]
[paragraph, [91.0, 226.0, 310.0, 18.0], kt6rRVR0Bh, 6494239]
[paragraph, [91.0, 244.0, 310.0, 18.0], kt6rRVR0Bh, 6494239]
[paragraph, [91.0, 262.0, 310.0, 18.0], kt6rRVR0Bh, 6494239]
[paragraph, [91.0, 280.0, 310.0, 18.0], kt6rRVR0Bh, 6494239]
[paragraph, [91.0, 298.0, 310.0, 18.0], kt6rRVR0Bh, 6494239]
[paragraph, [91.0, 316.0, 310.0, 18.0], kt6rRVR0Bh, 6494239]
[paragraph, [88.0, 340.0, 317.0, 18.0], -WppFCMIEx, 6494239]
[paragraph, [88.0, 358.0, 317.0, 18.0], -WppFCMIEx, 6494239]
[paragraph, [88.0, 376.0, 317.0, 18.0], -WppFCMIEx, 6494239]
[paragraph, [88.0, 394.0, 317.0, 18.0], -WppFCMIEx, 6494239]
[paragraph, [88.0, 412.0, 317.0, 18.0], -WppFCMIEx, 6494239]
[paragraph, [88.0, 430.0, 317.0, 18.0], -WppFCMIEx, 6494239]
[paragraph, [88.0, 448.0, 317.0, 18.0], -WppFCMIEx, 6494239]
[paragraph, [87.0, 472.0, 319.0, 18.0], vUvd_btHva, 6494239]
[paragraph, [87.0, 490.0, 319.0, 18.0], vUvd_btHva, 6494239]
[paragraph, [87.0, 508.0, 319.0, 18.0], vUvd_btHva, 6494239]
