[690, 403]
[folio, [165.0, 27.0, 81.0, 18.0], shoonya_0s53HIJNH9YLHK, 5749054]
[paragraph, [14.0, 62.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 80.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 98.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 116.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 134.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 152.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 170.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 188.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 206.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 224.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 242.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 260.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 278.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 296.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 314.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 332.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 350.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 368.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 386.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 404.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 422.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 440.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 458.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 476.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 494.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 512.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 530.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 548.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 566.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 584.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 602.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
[paragraph, [14.0, 620.0, 386.0, 18.0], QLUSY8Z4Ln, 5749054]
