[577, 393]
[chapter-title, [136.0, 64.0, 129.0, 30.0], shoonya_2sQHOS5C7LPEYO, 6457795]
[paragraph, [71.0, 115.0, 309.0, 18.0], shoonya_3sH2HS7I1ETISJ, 6457795]
[paragraph, [71.0, 133.0, 309.0, 18.0], shoonya_3sH2HS7I1ETISJ, 6457795]
[paragraph, [71.0, 151.0, 309.0, 18.0], shoonya_3sH2HS7I1ETISJ, 6457795]
[paragraph, [71.0, 169.0, 309.0, 18.0], shoonya_3sH2HS7I1ETISJ, 6457795]
[paragraph, [71.0, 187.0, 309.0, 18.0], shoonya_3sH2HS7I1ETISJ, 6457795]
[paragraph, [71.0, 205.0, 309.0, 18.0], shoonya_3sH2HS7I1ETISJ, 6457795]
[paragraph, [71.0, 223.0, 309.0, 18.0], shoonya_3sH2HS7I1ETISJ, 6457795]
[paragraph, [71.0, 241.0, 309.0, 18.0], shoonya_3sH2HS7I1ETISJ, 6457795]
[paragraph, [71.0, 259.0, 309.0, 18.0], shoonya_3sH2HS7I1ETISJ, 6457795]
[paragraph, [121.0, 295.0, 184.0, 18.0], 7Yc8tjPx0U, 6457795]
[section-title, [141.0, 339.0, 169.0, 30.0], yAG7Xoayr2, 6457795]
[paragraph, [70.0, 349.0, 271.0, 18.0], 1GxerGmp1D, 6457795]
[paragraph, [70.0, 367.0, 271.0, 18.0], 1GxerGmp1D, 6457795]
[paragraph, [70.0, 385.0, 271.0, 18.0], 1GxerGmp1D, 6457795]
[paragraph, [67.0, 383.0, 296.0, 18.0], ykrBjLWS3k, 6457795]
[paragraph, [67.0, 401.0, 296.0, 18.0], ykrBjLWS3k, 6457795]
[paragraph, [67.0, 419.0, 296.0, 18.0], ykrBjLWS3k, 6457795]
[paragraph, [67.0, 437.0, 296.0, 18.0], ykrBjLWS3k, 6457795]
[paragraph, [67.0, 455.0, 296.0, 18.0], ykrBjLWS3k, 6457795]
[paragraph, [66.0, 456.0, 301.0, 18.0], DBULSB9WwO, 6457795]
[paragraph, [66.0, 474.0, 301.0, 18.0], DBULSB9WwO, 6457795]
[paragraph, [66.0, 492.0, 301.0, 18.0], DBULSB9WwO, 6457795]
[paragraph, [66.0, 510.0, 301.0, 18.0], DBULSB9WwO, 6457795]
[paragraph, [66.0, 528.0, 301.0, 18.0], DBULSB9WwO, 6457795]
