[1275, 750]
[folio, [246.0, 88.0, 209.0, 18.0], shoonya_2s721CI50V1FZ6, 5767523]
[folio, [246.0, 106.0, 209.0, 18.0], shoonya_2s721CI50V1FZ6, 5767523]
[paragraph, [63.0, 158.0, 594.0, 18.0], shoonya_3sPTG4AANDVFTK, 5767523]
[paragraph, [63.0, 176.0, 594.0, 18.0], shoonya_3sPTG4AANDVFTK, 5767523]
[paragraph, [63.0, 194.0, 594.0, 18.0], shoonya_3sPTG4AANDVFTK, 5767523]
[paragraph, [63.0, 212.0, 594.0, 18.0], shoonya_3sPTG4AANDVFTK, 5767523]
[paragraph, [506.0, 241.0, 155.0, 18.0], ZweL_rmdNx, 5767523]
[paragraph, [63.0, 288.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 306.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 324.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 342.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 360.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 378.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 396.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 414.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 432.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 450.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 468.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 486.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 504.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 522.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 540.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 558.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 576.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 594.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 612.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 630.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 648.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 666.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 684.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 702.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 720.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 738.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 756.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 774.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 792.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 810.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 828.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 846.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 864.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 882.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 900.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 918.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 936.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 954.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 972.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 990.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [63.0, 1008.0, 622.0, 18.0], shoonya_0s59ULVXS3MUDT, 5767523]
[paragraph, [87.0, 1033.0, 598.0, 18.0], BlwbZAc4id, 5767523]
[paragraph, [87.0, 1051.0, 598.0, 18.0], BlwbZAc4id, 5767523]
[paragraph, [87.0, 1069.0, 598.0, 18.0], BlwbZAc4id, 5767523]
[paragraph, [87.0, 1087.0, 598.0, 18.0], BlwbZAc4id, 5767523]
[paragraph, [87.0, 1105.0, 598.0, 18.0], BlwbZAc4id, 5767523]
[paragraph, [87.0, 1123.0, 598.0, 18.0], BlwbZAc4id, 5767523]
[paragraph, [87.0, 1141.0, 598.0, 18.0], BlwbZAc4id, 5767523]
[paragraph, [87.0, 1159.0, 598.0, 18.0], BlwbZAc4id, 5767523]
