[2200, 1700]
[section-title, [700.0, 235.0, 295.0, 52.5], shoonya_3sFGRF7F0MWTHL, 5738834]
[sub-section-title, [156.0, 369.0, 728.0, 55.5], shoonya_0sPO8C9HKZ4BZ2, 5738834]
[unordered-list, [178.0, 444.0, 1092.0, 36.0], EOcPySryDG, 5738834]
[unordered-list, [178.0, 480.0, 1092.0, 36.0], EOcPySryDG, 5738834]
[unordered-list, [178.0, 516.0, 1092.0, 36.0], EOcPySryDG, 5738834]
[unordered-list, [178.0, 552.0, 1092.0, 36.0], EOcPySryDG, 5738834]
[unordered-list, [178.0, 588.0, 1092.0, 36.0], EOcPySryDG, 5738834]
[unordered-list, [178.0, 624.0, 1092.0, 36.0], EOcPySryDG, 5738834]
[sub-section-title, [155.0, 685.0, 1055.0, 55.5], shoonya_2sFB53V4HGBGWY, 5738834]
[unordered-list, [170.0, 760.0, 1112.0, 36.0], shoonya_1sYPECAR0XZT3T, 5738834]
[unordered-list, [170.0, 796.0, 1112.0, 36.0], shoonya_1sYPECAR0XZT3T, 5738834]
[unordered-list, [170.0, 832.0, 1112.0, 36.0], shoonya_1sYPECAR0XZT3T, 5738834]
[unordered-list, [170.0, 868.0, 1112.0, 36.0], shoonya_1sYPECAR0XZT3T, 5738834]
[unordered-list, [170.0, 904.0, 1112.0, 36.0], shoonya_1sYPECAR0XZT3T, 5738834]
[sub-section-title, [150.0, 996.0, 1060.0, 55.5], 019RPNtzmB, 5738834]
[unordered-list, [150.0, 1088.0, 1109.0, 36.0], 77XHJvqKZC, 5738834]
[unordered-list, [150.0, 1124.0, 1109.0, 36.0], 77XHJvqKZC, 5738834]
[unordered-list, [150.0, 1160.0, 1109.0, 36.0], 77XHJvqKZC, 5738834]
[unordered-list, [150.0, 1196.0, 1109.0, 36.0], 77XHJvqKZC, 5738834]
[unordered-list, [150.0, 1232.0, 1109.0, 36.0], 77XHJvqKZC, 5738834]
[sub-section-title, [148.0, 1316.0, 1129.0, 55.5], shoonya_4sX3HOC58KJ0FV, 5738834]
[unordered-list, [173.0, 1392.0, 1141.0, 36.0], shoonya_5sGTV7W03RG6UA, 5738834]
[unordered-list, [173.0, 1428.0, 1141.0, 36.0], shoonya_5sGTV7W03RG6UA, 5738834]
[unordered-list, [173.0, 1464.0, 1141.0, 36.0], shoonya_5sGTV7W03RG6UA, 5738834]
[unordered-list, [173.0, 1500.0, 1141.0, 36.0], shoonya_5sGTV7W03RG6UA, 5738834]
[unordered-list, [173.0, 1536.0, 1141.0, 36.0], shoonya_5sGTV7W03RG6UA, 5738834]
