[2339, 1654]
[paragraph, [385.0, 224.0, 1003.0, 36.0], shoonya_3sHSLLMTW2XK17, 5737862]
[paragraph, [385.0, 260.0, 1003.0, 36.0], shoonya_3sHSLLMTW2XK17, 5737862]
[paragraph, [380.0, 395.0, 1010.0, 36.0], shoonya_2s8IYR4GR11BJN, 5737862]
[paragraph, [380.0, 431.0, 1010.0, 36.0], shoonya_2s8IYR4GR11BJN, 5737862]
[paragraph, [380.0, 467.0, 1010.0, 36.0], shoonya_2s8IYR4GR11BJN, 5737862]
[paragraph, [380.0, 503.0, 1010.0, 36.0], shoonya_2s8IYR4GR11BJN, 5737862]
[paragraph, [380.0, 539.0, 1010.0, 36.0], shoonya_2s8IYR4GR11BJN, 5737862]
[paragraph, [380.0, 575.0, 1010.0, 36.0], shoonya_2s8IYR4GR11BJN, 5737862]
[paragraph, [380.0, 611.0, 1010.0, 36.0], shoonya_2s8IYR4GR11BJN, 5737862]
[paragraph, [380.0, 647.0, 1010.0, 36.0], shoonya_2s8IYR4GR11BJN, 5737862]
[paragraph, [380.0, 683.0, 1010.0, 36.0], shoonya_2s8IYR4GR11BJN, 5737862]
[paragraph, [380.0, 719.0, 1010.0, 36.0], shoonya_2s8IYR4GR11BJN, 5737862]
[paragraph, [379.0, 772.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 808.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 844.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 880.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 916.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 952.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 988.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 1024.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 1060.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 1096.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 1132.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 1168.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 1204.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 1240.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 1276.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 1312.0, 1010.0, 36.0], shoonya_0sCO3TMKTW68PI, 5737862]
[paragraph, [379.0, 1371.0, 1012.0, 36.0], shoonya_1sA6AGP3Q3UJZS, 5737862]
[paragraph, [379.0, 1407.0, 1012.0, 36.0], shoonya_1sA6AGP3Q3UJZS, 5737862]
[paragraph, [379.0, 1443.0, 1012.0, 36.0], shoonya_1sA6AGP3Q3UJZS, 5737862]
[paragraph, [379.0, 1479.0, 1012.0, 36.0], shoonya_1sA6AGP3Q3UJZS, 5737862]
[paragraph, [379.0, 1515.0, 1012.0, 36.0], shoonya_1sA6AGP3Q3UJZS, 5737862]
[paragraph, [379.0, 1551.0, 1012.0, 36.0], shoonya_1sA6AGP3Q3UJZS, 5737862]
[paragraph, [379.0, 1587.0, 1012.0, 36.0], shoonya_1sA6AGP3Q3UJZS, 5737862]
[paragraph, [379.0, 1623.0, 1012.0, 36.0], shoonya_1sA6AGP3Q3UJZS, 5737862]
[paragraph, [379.0, 1659.0, 1012.0, 36.0], shoonya_1sA6AGP3Q3UJZS, 5737862]
[paragraph, [382.0, 1735.0, 1003.0, 36.0], shoonya_5sG59PFY8KWYWO, 5737862]
[paragraph, [382.0, 1771.0, 1003.0, 36.0], shoonya_5sG59PFY8KWYWO, 5737862]
[paragraph, [382.0, 1807.0, 1003.0, 36.0], shoonya_5sG59PFY8KWYWO, 5737862]
[paragraph, [382.0, 1843.0, 1003.0, 36.0], shoonya_5sG59PFY8KWYWO, 5737862]
[footnote, [383.0, 1933.0, 925.0, 36.0], shoonya_9sFE7P1BALNST5, 5737862]
[folio, [1209.0, 2258.0, 400.0, 36.0], uATA3JuxZJ, 5737862]
