[842, 595]
[author, [400.0, 210.0, 51.0, 18.0], shoonya_7sOXYYELNOS07I, 6513768]
[paragraph, [130.0, 247.0, 326.0, 18.0], shoonya_1s4PRAY6I8E0AB, 6513768]
[paragraph, [130.0, 265.0, 326.0, 18.0], shoonya_1s4PRAY6I8E0AB, 6513768]
[paragraph, [130.0, 283.0, 326.0, 18.0], shoonya_1s4PRAY6I8E0AB, 6513768]
[paragraph, [130.0, 301.0, 326.0, 18.0], shoonya_1s4PRAY6I8E0AB, 6513768]
[paragraph, [130.0, 319.0, 326.0, 18.0], shoonya_1s4PRAY6I8E0AB, 6513768]
[paragraph, [130.0, 337.0, 326.0, 18.0], shoonya_1s4PRAY6I8E0AB, 6513768]
[paragraph, [130.0, 355.0, 326.0, 18.0], shoonya_1s4PRAY6I8E0AB, 6513768]
[paragraph, [130.0, 373.0, 326.0, 18.0], shoonya_1s4PRAY6I8E0AB, 6513768]
[paragraph, [128.0, 408.0, 328.0, 18.0], shoonya_3sKC2DVA7Y0WR1, 6513768]
[paragraph, [128.0, 426.0, 328.0, 18.0], shoonya_3sKC2DVA7Y0WR1, 6513768]
[paragraph, [128.0, 444.0, 328.0, 18.0], shoonya_3sKC2DVA7Y0WR1, 6513768]
[paragraph, [128.0, 462.0, 328.0, 18.0], shoonya_3sKC2DVA7Y0WR1, 6513768]
[paragraph, [128.0, 480.0, 328.0, 18.0], shoonya_3sKC2DVA7Y0WR1, 6513768]
[paragraph, [128.0, 498.0, 328.0, 18.0], shoonya_3sKC2DVA7Y0WR1, 6513768]
[paragraph, [128.0, 516.0, 328.0, 18.0], shoonya_3sKC2DVA7Y0WR1, 6513768]
[paragraph, [132.0, 547.0, 322.0, 18.0], shoonya_2sRJ2HS1P8OK7Q, 6513768]
[paragraph, [132.0, 565.0, 322.0, 18.0], shoonya_2sRJ2HS1P8OK7Q, 6513768]
[paragraph, [132.0, 583.0, 322.0, 18.0], shoonya_2sRJ2HS1P8OK7Q, 6513768]
[paragraph, [129.0, 609.0, 323.0, 18.0], 9I3BhEbXkA, 6513768]
[paragraph, [129.0, 627.0, 323.0, 18.0], 9I3BhEbXkA, 6513768]
