[1667, 1042]
[folio, [710.0, 96.0, 200.0, 36.0], h3v2bwQCnG, 5753053]
[paragraph, [59.0, 140.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[paragraph, [59.0, 176.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[paragraph, [59.0, 212.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[paragraph, [59.0, 248.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[paragraph, [59.0, 284.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[paragraph, [59.0, 320.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[paragraph, [59.0, 356.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[paragraph, [59.0, 392.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[paragraph, [59.0, 428.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[paragraph, [59.0, 464.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[paragraph, [59.0, 500.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[paragraph, [59.0, 536.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[paragraph, [59.0, 572.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[paragraph, [59.0, 608.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[paragraph, [59.0, 644.0, 854.0, 36.0], shoonya_2s8L7QVQ4HA7MK, 5753053]
[section-title, [278.0, 782.0, 417.0, 49.5], shoonya_4s1LCLWPQON08Y, 5753053]
[paragraph, [57.0, 887.0, 853.0, 36.0], shoonya_1sNL5SSFNIB9FP, 5753053]
[paragraph, [57.0, 923.0, 853.0, 36.0], shoonya_1sNL5SSFNIB9FP, 5753053]
[paragraph, [57.0, 959.0, 853.0, 36.0], shoonya_1sNL5SSFNIB9FP, 5753053]
[paragraph, [57.0, 995.0, 853.0, 36.0], shoonya_1sNL5SSFNIB9FP, 5753053]
[paragraph, [57.0, 1031.0, 853.0, 36.0], shoonya_1sNL5SSFNIB9FP, 5753053]
[paragraph, [57.0, 1067.0, 853.0, 36.0], shoonya_1sNL5SSFNIB9FP, 5753053]
[paragraph, [57.0, 1103.0, 853.0, 36.0], shoonya_1sNL5SSFNIB9FP, 5753053]
[paragraph, [57.0, 1139.0, 853.0, 36.0], shoonya_1sNL5SSFNIB9FP, 5753053]
[paragraph, [57.0, 1175.0, 853.0, 36.0], shoonya_1sNL5SSFNIB9FP, 5753053]
[paragraph, [57.0, 1211.0, 853.0, 36.0], shoonya_1sNL5SSFNIB9FP, 5753053]
[paragraph, [57.0, 1247.0, 853.0, 36.0], shoonya_1sNL5SSFNIB9FP, 5753053]
[paragraph, [45.0, 1300.0, 865.0, 36.0], wvlplunyyo, 5753053]
[paragraph, [45.0, 1336.0, 865.0, 36.0], wvlplunyyo, 5753053]
[paragraph, [45.0, 1372.0, 865.0, 36.0], wvlplunyyo, 5753053]
[paragraph, [45.0, 1408.0, 865.0, 36.0], wvlplunyyo, 5753053]
[paragraph, [127.0, 1487.0, 770.0, 36.0], shoonya_3sM8N9KDQ8HEFV, 5753053]
