[1242, 846]
[chapter-title, [344.0, 27.0, 245.0, 30.0], shoonya_7s18YOBIKQNK4H, 5776315]
[paragraph, [154.0, 64.0, 628.0, 18.0], shoonya_1sTQ1671SEYYOX, 5776315]
[paragraph, [154.0, 82.0, 628.0, 18.0], shoonya_1sTQ1671SEYYOX, 5776315]
[paragraph, [154.0, 100.0, 628.0, 18.0], shoonya_1sTQ1671SEYYOX, 5776315]
[paragraph, [154.0, 118.0, 628.0, 18.0], shoonya_1sTQ1671SEYYOX, 5776315]
[paragraph, [154.0, 136.0, 628.0, 18.0], shoonya_1sTQ1671SEYYOX, 5776315]
[paragraph, [154.0, 154.0, 628.0, 18.0], shoonya_1sTQ1671SEYYOX, 5776315]
[paragraph, [154.0, 172.0, 628.0, 18.0], shoonya_1sTQ1671SEYYOX, 5776315]
[paragraph, [154.0, 190.0, 628.0, 18.0], shoonya_1sTQ1671SEYYOX, 5776315]
[paragraph, [154.0, 208.0, 628.0, 18.0], shoonya_1sTQ1671SEYYOX, 5776315]
[paragraph, [154.0, 226.0, 628.0, 18.0], shoonya_1sTQ1671SEYYOX, 5776315]
[paragraph, [154.0, 244.0, 628.0, 18.0], shoonya_1sTQ1671SEYYOX, 5776315]
[paragraph, [154.0, 262.0, 628.0, 18.0], shoonya_1sTQ1671SEYYOX, 5776315]
[paragraph, [154.0, 280.0, 628.0, 18.0], shoonya_1sTQ1671SEYYOX, 5776315]
[paragraph, [155.0, 316.0, 626.0, 18.0], shoonya_3sOJ2SFXOFI534, 5776315]
[paragraph, [155.0, 334.0, 626.0, 18.0], shoonya_3sOJ2SFXOFI534, 5776315]
[paragraph, [155.0, 352.0, 626.0, 18.0], shoonya_3sOJ2SFXOFI534, 5776315]
[paragraph, [155.0, 370.0, 626.0, 18.0], shoonya_3sOJ2SFXOFI534, 5776315]
[paragraph, [156.0, 392.0, 628.0, 18.0], shoonya_0sTJ83AW9F8HLQ, 5776315]
[paragraph, [156.0, 410.0, 628.0, 18.0], shoonya_0sTJ83AW9F8HLQ, 5776315]
[paragraph, [156.0, 428.0, 628.0, 18.0], shoonya_0sTJ83AW9F8HLQ, 5776315]
[paragraph, [156.0, 446.0, 628.0, 18.0], shoonya_0sTJ83AW9F8HLQ, 5776315]
[paragraph, [156.0, 464.0, 628.0, 18.0], shoonya_0sTJ83AW9F8HLQ, 5776315]
[paragraph, [156.0, 482.0, 628.0, 18.0], shoonya_0sTJ83AW9F8HLQ, 5776315]
[paragraph, [156.0, 500.0, 628.0, 18.0], shoonya_0sTJ83AW9F8HLQ, 5776315]
[paragraph, [156.0, 518.0, 628.0, 18.0], shoonya_0sTJ83AW9F8HLQ, 5776315]
[paragraph, [156.0, 536.0, 628.0, 18.0], shoonya_0sTJ83AW9F8HLQ, 5776315]
