[1754, 1241]
[paragraph, [133.0, 227.0, 936.0, 36.0], shoonya_1sBKPF9W26ATMI, 5693635]
[paragraph, [133.0, 263.0, 936.0, 36.0], shoonya_1sBKPF9W26ATMI, 5693635]
[paragraph, [129.0, 341.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 377.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 413.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 449.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 485.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 521.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 557.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 593.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 629.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 665.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 701.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 737.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 773.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 809.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 845.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 881.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 917.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [129.0, 953.0, 986.0, 36.0], shoonya_0s044FZ6E12LSD, 5693635]
[paragraph, [131.0, 1004.0, 979.0, 36.0], 1Zjab9i519, 5693635]
[paragraph, [131.0, 1040.0, 979.0, 36.0], 1Zjab9i519, 5693635]
[ordered-list, [207.0, 1099.0, 896.0, 36.0], shoonya_2sMXKPHFEIKIT4, 5693635]
[ordered-list, [207.0, 1135.0, 896.0, 36.0], shoonya_2sMXKPHFEIKIT4, 5693635]
[ordered-list, [207.0, 1171.0, 896.0, 36.0], shoonya_2sMXKPHFEIKIT4, 5693635]
[ordered-list, [207.0, 1207.0, 896.0, 36.0], shoonya_2sMXKPHFEIKIT4, 5693635]
[ordered-list, [207.0, 1243.0, 896.0, 36.0], shoonya_2sMXKPHFEIKIT4, 5693635]
[ordered-list, [207.0, 1279.0, 896.0, 36.0], shoonya_2sMXKPHFEIKIT4, 5693635]
[ordered-list, [207.0, 1315.0, 896.0, 36.0], shoonya_2sMXKPHFEIKIT4, 5693635]
[ordered-list, [207.0, 1351.0, 896.0, 36.0], shoonya_2sMXKPHFEIKIT4, 5693635]
[ordered-list, [207.0, 1387.0, 896.0, 36.0], shoonya_2sMXKPHFEIKIT4, 5693635]
[ordered-list, [207.0, 1423.0, 896.0, 36.0], shoonya_2sMXKPHFEIKIT4, 5693635]
[footnote, [123.0, 1543.0, 780.0, 36.0], O_IPMOaBV7, 5693635]
