[1164, 755]
[paragraph, [66.0, 77.0, 621.0, 18.0], shoonya_0s2GKGKQM8JHWK, 5691764]
[paragraph, [66.0, 95.0, 621.0, 18.0], shoonya_0s2GKGKQM8JHWK, 5691764]
[paragraph, [66.0, 113.0, 621.0, 18.0], shoonya_0s2GKGKQM8JHWK, 5691764]
[paragraph, [66.0, 131.0, 621.0, 18.0], shoonya_0s2GKGKQM8JHWK, 5691764]
[paragraph, [66.0, 149.0, 621.0, 18.0], shoonya_0s2GKGKQM8JHWK, 5691764]
[paragraph, [66.0, 167.0, 621.0, 18.0], shoonya_0s2GKGKQM8JHWK, 5691764]
[paragraph, [66.0, 185.0, 621.0, 18.0], shoonya_0s2GKGKQM8JHWK, 5691764]
[paragraph, [66.0, 203.0, 621.0, 18.0], shoonya_0s2GKGKQM8JHWK, 5691764]
[paragraph, [66.0, 221.0, 621.0, 18.0], shoonya_0s2GKGKQM8JHWK, 5691764]
[paragraph, [66.0, 239.0, 621.0, 18.0], shoonya_0s2GKGKQM8JHWK, 5691764]
[paragraph, [66.0, 257.0, 621.0, 18.0], shoonya_0s2GKGKQM8JHWK, 5691764]
[paragraph, [66.0, 275.0, 621.0, 18.0], shoonya_0s2GKGKQM8JHWK, 5691764]
[paragraph, [63.0, 296.0, 625.0, 18.0], shoonya_5s4XNO07ET17BJ, 5691764]
[paragraph, [63.0, 314.0, 625.0, 18.0], shoonya_5s4XNO07ET17BJ, 5691764]
[paragraph, [63.0, 332.0, 625.0, 18.0], shoonya_5s4XNO07ET17BJ, 5691764]
[paragraph, [63.0, 350.0, 625.0, 18.0], shoonya_5s4XNO07ET17BJ, 5691764]
[paragraph, [63.0, 368.0, 625.0, 18.0], shoonya_5s4XNO07ET17BJ, 5691764]
[paragraph, [63.0, 404.0, 624.0, 18.0], shoonya_2sAG0JDFN5AUVR, 5691764]
[paragraph, [63.0, 422.0, 624.0, 18.0], shoonya_2sAG0JDFN5AUVR, 5691764]
[paragraph, [63.0, 440.0, 624.0, 18.0], shoonya_2sAG0JDFN5AUVR, 5691764]
[paragraph, [63.0, 458.0, 624.0, 18.0], shoonya_2sAG0JDFN5AUVR, 5691764]
[paragraph, [63.0, 476.0, 624.0, 18.0], shoonya_2sAG0JDFN5AUVR, 5691764]
[paragraph, [63.0, 494.0, 624.0, 18.0], shoonya_2sAG0JDFN5AUVR, 5691764]
[paragraph, [63.0, 512.0, 624.0, 18.0], shoonya_2sAG0JDFN5AUVR, 5691764]
[paragraph, [66.0, 545.0, 621.0, 18.0], shoonya_1s36MYZD20T5UA, 5691764]
[paragraph, [66.0, 563.0, 621.0, 18.0], shoonya_1s36MYZD20T5UA, 5691764]
[paragraph, [66.0, 581.0, 621.0, 18.0], shoonya_1s36MYZD20T5UA, 5691764]
[paragraph, [66.0, 599.0, 621.0, 18.0], shoonya_1s36MYZD20T5UA, 5691764]
[paragraph, [66.0, 617.0, 621.0, 18.0], shoonya_1s36MYZD20T5UA, 5691764]
[paragraph, [66.0, 635.0, 621.0, 18.0], shoonya_1s36MYZD20T5UA, 5691764]
[paragraph, [66.0, 653.0, 621.0, 18.0], shoonya_1s36MYZD20T5UA, 5691764]
[paragraph, [64.0, 688.0, 622.0, 18.0], shoonya_3s85OXA6HKORBQ, 5691764]
[paragraph, [64.0, 706.0, 622.0, 18.0], shoonya_3s85OXA6HKORBQ, 5691764]
[paragraph, [64.0, 724.0, 622.0, 18.0], shoonya_3s85OXA6HKORBQ, 5691764]
[paragraph, [64.0, 742.0, 622.0, 18.0], shoonya_3s85OXA6HKORBQ, 5691764]
[paragraph, [64.0, 760.0, 622.0, 18.0], shoonya_3s85OXA6HKORBQ, 5691764]
[paragraph, [64.0, 778.0, 622.0, 18.0], shoonya_3s85OXA6HKORBQ, 5691764]
[paragraph, [64.0, 796.0, 622.0, 18.0], shoonya_3s85OXA6HKORBQ, 5691764]
[paragraph, [64.0, 831.0, 620.0, 18.0], WoEBfNwIKd, 5691764]
[paragraph, [64.0, 849.0, 620.0, 18.0], WoEBfNwIKd, 5691764]
[paragraph, [64.0, 867.0, 620.0, 18.0], WoEBfNwIKd, 5691764]
[paragraph, [64.0, 885.0, 620.0, 18.0], WoEBfNwIKd, 5691764]
[paragraph, [64.0, 903.0, 620.0, 18.0], WoEBfNwIKd, 5691764]
[paragraph, [107.0, 936.0, 278.0, 18.0], JpdAfjgW7a, 5691764]
[paragraph, [110.0, 968.0, 573.0, 18.0], 8n6jRxsEJI, 5691764]
[paragraph, [110.0, 986.0, 573.0, 18.0], 8n6jRxsEJI, 5691764]
