[2481, 1654]
[folio, [337.0, 101.0, 142.0, 36.0], k0XbjN_efO, 5721324]
[paragraph, [223.0, 218.0, 1269.0, 36.0], shoonya_2s8P2LBION5B2Y, 5721324]
[paragraph, [223.0, 254.0, 1269.0, 36.0], shoonya_2s8P2LBION5B2Y, 5721324]
[paragraph, [223.0, 290.0, 1269.0, 36.0], shoonya_2s8P2LBION5B2Y, 5721324]
[paragraph, [223.0, 326.0, 1269.0, 36.0], shoonya_2s8P2LBION5B2Y, 5721324]
[paragraph, [223.0, 362.0, 1269.0, 36.0], shoonya_2s8P2LBION5B2Y, 5721324]
[paragraph, [221.0, 422.0, 1274.0, 36.0], shoonya_0sYDXCQJ156L9R, 5721324]
[paragraph, [221.0, 458.0, 1274.0, 36.0], shoonya_0sYDXCQJ156L9R, 5721324]
[paragraph, [221.0, 494.0, 1274.0, 36.0], shoonya_0sYDXCQJ156L9R, 5721324]
[paragraph, [221.0, 530.0, 1274.0, 36.0], shoonya_0sYDXCQJ156L9R, 5721324]
[paragraph, [221.0, 566.0, 1274.0, 36.0], shoonya_0sYDXCQJ156L9R, 5721324]
[paragraph, [221.0, 602.0, 1274.0, 36.0], shoonya_0sYDXCQJ156L9R, 5721324]
[paragraph, [221.0, 638.0, 1274.0, 36.0], shoonya_0sYDXCQJ156L9R, 5721324]
[paragraph, [221.0, 674.0, 1274.0, 36.0], shoonya_0sYDXCQJ156L9R, 5721324]
[paragraph, [223.0, 723.0, 1273.0, 36.0], dc4X-2rUUP, 5721324]
[paragraph, [223.0, 759.0, 1273.0, 36.0], dc4X-2rUUP, 5721324]
[paragraph, [223.0, 795.0, 1273.0, 36.0], dc4X-2rUUP, 5721324]
[paragraph, [223.0, 831.0, 1273.0, 36.0], dc4X-2rUUP, 5721324]
[paragraph, [223.0, 876.0, 1271.0, 36.0], EFAVXDKSpU, 5721324]
[paragraph, [223.0, 912.0, 1271.0, 36.0], EFAVXDKSpU, 5721324]
[paragraph, [219.0, 977.0, 1275.0, 36.0], 1VRrs3fBbD, 5721324]
[paragraph, [219.0, 1013.0, 1275.0, 36.0], 1VRrs3fBbD, 5721324]
[paragraph, [223.0, 1079.0, 1269.0, 36.0], vhVHkIUhm5, 5721324]
[paragraph, [223.0, 1115.0, 1269.0, 36.0], vhVHkIUhm5, 5721324]
[paragraph, [221.0, 1178.0, 1269.0, 36.0], jRmzk89GT5, 5721324]
[paragraph, [221.0, 1214.0, 1269.0, 36.0], jRmzk89GT5, 5721324]
[paragraph, [221.0, 1250.0, 1269.0, 36.0], jRmzk89GT5, 5721324]
[paragraph, [221.0, 1286.0, 1269.0, 36.0], jRmzk89GT5, 5721324]
[paragraph, [221.0, 1331.0, 1273.0, 36.0], GHf4ZcfVtE, 5721324]
[paragraph, [221.0, 1367.0, 1273.0, 36.0], GHf4ZcfVtE, 5721324]
[paragraph, [277.0, 1432.0, 521.0, 36.0], Vv71NDYH_h, 5721324]
[paragraph, [227.0, 1480.0, 1265.0, 36.0], qHxPuPh8rS, 5721324]
[paragraph, [227.0, 1516.0, 1265.0, 36.0], qHxPuPh8rS, 5721324]
[paragraph, [225.0, 1581.0, 1267.0, 36.0], 6pfpY1N0C3, 5721324]
[paragraph, [225.0, 1617.0, 1267.0, 36.0], 6pfpY1N0C3, 5721324]
[paragraph, [225.0, 1653.0, 1267.0, 36.0], 6pfpY1N0C3, 5721324]
[paragraph, [225.0, 1689.0, 1267.0, 36.0], 6pfpY1N0C3, 5721324]
[paragraph, [225.0, 1725.0, 1267.0, 36.0], 6pfpY1N0C3, 5721324]
[paragraph, [219.0, 1786.0, 1277.0, 36.0], y-dGKmsgVy, 5721324]
[paragraph, [219.0, 1822.0, 1277.0, 36.0], y-dGKmsgVy, 5721324]
[paragraph, [219.0, 1858.0, 1277.0, 36.0], y-dGKmsgVy, 5721324]
[paragraph, [219.0, 1894.0, 1277.0, 36.0], y-dGKmsgVy, 5721324]
[paragraph, [219.0, 1930.0, 1277.0, 36.0], y-dGKmsgVy, 5721324]
[paragraph, [279.0, 1988.0, 1217.0, 36.0], xvQLSZoySk, 5721324]
[paragraph, [283.0, 2036.0, 334.0, 36.0], zRl1t3-Xk3, 5721324]
[paragraph, [223.0, 2090.0, 1267.0, 36.0], tVQxhhmmU1, 5721324]
[paragraph, [223.0, 2126.0, 1267.0, 36.0], tVQxhhmmU1, 5721324]
