[1152, 739]
[paragraph, [87.0, 181.0, 549.0, 18.0], 4GmiKVkwmI, 5741294]
[paragraph, [87.0, 199.0, 549.0, 18.0], 4GmiKVkwmI, 5741294]
[paragraph, [87.0, 217.0, 549.0, 18.0], 4GmiKVkwmI, 5741294]
[paragraph, [87.0, 235.0, 549.0, 18.0], 4GmiKVkwmI, 5741294]
[paragraph, [87.0, 253.0, 549.0, 18.0], 4GmiKVkwmI, 5741294]
[paragraph, [87.0, 271.0, 549.0, 18.0], 4GmiKVkwmI, 5741294]
[paragraph, [87.0, 289.0, 549.0, 18.0], 4GmiKVkwmI, 5741294]
[paragraph, [87.0, 307.0, 549.0, 18.0], 4GmiKVkwmI, 5741294]
[paragraph, [94.0, 324.0, 537.0, 18.0], 9Jv7UNEW8g, 5741294]
[paragraph, [94.0, 342.0, 537.0, 18.0], 9Jv7UNEW8g, 5741294]
[paragraph, [94.0, 360.0, 537.0, 18.0], 9Jv7UNEW8g, 5741294]
[paragraph, [94.0, 378.0, 537.0, 18.0], 9Jv7UNEW8g, 5741294]
[paragraph, [94.0, 396.0, 537.0, 18.0], 9Jv7UNEW8g, 5741294]
[paragraph, [94.0, 414.0, 537.0, 18.0], 9Jv7UNEW8g, 5741294]
[paragraph, [94.0, 432.0, 537.0, 18.0], 9Jv7UNEW8g, 5741294]
[paragraph, [94.0, 464.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 482.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 500.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 518.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 536.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 554.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 572.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 590.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 608.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 626.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 644.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 662.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 680.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 698.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 716.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 734.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [94.0, 752.0, 545.0, 18.0], 8PaiBNb-cq, 5741294]
[paragraph, [89.0, 778.0, 555.0, 18.0], mr6Im84wTc, 5741294]
[paragraph, [89.0, 796.0, 555.0, 18.0], mr6Im84wTc, 5741294]
[paragraph, [89.0, 814.0, 555.0, 18.0], mr6Im84wTc, 5741294]
[paragraph, [89.0, 832.0, 555.0, 18.0], mr6Im84wTc, 5741294]
[paragraph, [89.0, 850.0, 555.0, 18.0], mr6Im84wTc, 5741294]
[paragraph, [89.0, 868.0, 555.0, 18.0], mr6Im84wTc, 5741294]
[paragraph, [89.0, 886.0, 555.0, 18.0], mr6Im84wTc, 5741294]
[paragraph, [89.0, 904.0, 555.0, 18.0], mr6Im84wTc, 5741294]
[paragraph, [89.0, 922.0, 555.0, 18.0], mr6Im84wTc, 5741294]
[paragraph, [91.0, 949.0, 548.0, 18.0], fh4POb58ID, 5741294]
[paragraph, [91.0, 967.0, 548.0, 18.0], fh4POb58ID, 5741294]
[paragraph, [91.0, 985.0, 548.0, 18.0], fh4POb58ID, 5741294]
[paragraph, [91.0, 1003.0, 548.0, 18.0], fh4POb58ID, 5741294]
[footnote, [423.0, 1109.0, 258.0, 18.0], Uy9YuIqJZ2, 5741294]
