[2339, 1653]
[paragraph, [392.0, 194.0, 1071.0, 36.0], shoonya_1sCVPYXD0DTM7D, 5734608]
[paragraph, [392.0, 230.0, 1071.0, 36.0], shoonya_1sCVPYXD0DTM7D, 5734608]
[paragraph, [392.0, 266.0, 1071.0, 36.0], shoonya_1sCVPYXD0DTM7D, 5734608]
[paragraph, [392.0, 302.0, 1071.0, 36.0], shoonya_1sCVPYXD0DTM7D, 5734608]
[paragraph, [392.0, 338.0, 1071.0, 36.0], shoonya_1sCVPYXD0DTM7D, 5734608]
[paragraph, [392.0, 374.0, 1071.0, 36.0], shoonya_1sCVPYXD0DTM7D, 5734608]
[paragraph, [392.0, 417.0, 1076.0, 36.0], shoonya_0sWGGR1R0T1XTF, 5734608]
[paragraph, [392.0, 453.0, 1076.0, 36.0], shoonya_0sWGGR1R0T1XTF, 5734608]
[paragraph, [392.0, 489.0, 1076.0, 36.0], shoonya_0sWGGR1R0T1XTF, 5734608]
[paragraph, [392.0, 525.0, 1076.0, 36.0], shoonya_0sWGGR1R0T1XTF, 5734608]
[paragraph, [392.0, 561.0, 1076.0, 36.0], shoonya_0sWGGR1R0T1XTF, 5734608]
[paragraph, [392.0, 597.0, 1076.0, 36.0], shoonya_0sWGGR1R0T1XTF, 5734608]
[paragraph, [392.0, 633.0, 1076.0, 36.0], shoonya_0sWGGR1R0T1XTF, 5734608]
[paragraph, [394.0, 699.0, 1067.0, 36.0], shoonya_5sIVA87N7BT8XW, 5734608]
[paragraph, [394.0, 735.0, 1067.0, 36.0], shoonya_5sIVA87N7BT8XW, 5734608]
[paragraph, [394.0, 771.0, 1067.0, 36.0], shoonya_5sIVA87N7BT8XW, 5734608]
[paragraph, [394.0, 807.0, 1067.0, 36.0], shoonya_5sIVA87N7BT8XW, 5734608]
[paragraph, [394.0, 843.0, 1067.0, 36.0], shoonya_5sIVA87N7BT8XW, 5734608]
[paragraph, [389.0, 922.0, 1073.0, 36.0], shoonya_2sIBOULSFLAARD, 5734608]
[paragraph, [389.0, 958.0, 1073.0, 36.0], shoonya_2sIBOULSFLAARD, 5734608]
[paragraph, [389.0, 994.0, 1073.0, 36.0], shoonya_2sIBOULSFLAARD, 5734608]
[paragraph, [389.0, 1030.0, 1073.0, 36.0], shoonya_2sIBOULSFLAARD, 5734608]
[paragraph, [389.0, 1066.0, 1073.0, 36.0], shoonya_2sIBOULSFLAARD, 5734608]
[paragraph, [389.0, 1102.0, 1073.0, 36.0], shoonya_2sIBOULSFLAARD, 5734608]
[paragraph, [389.0, 1138.0, 1073.0, 36.0], shoonya_2sIBOULSFLAARD, 5734608]
[paragraph, [389.0, 1174.0, 1073.0, 36.0], shoonya_2sIBOULSFLAARD, 5734608]
[paragraph, [389.0, 1210.0, 1073.0, 36.0], shoonya_2sIBOULSFLAARD, 5734608]
[paragraph, [389.0, 1246.0, 1073.0, 36.0], shoonya_2sIBOULSFLAARD, 5734608]
[paragraph, [389.0, 1282.0, 1073.0, 36.0], shoonya_2sIBOULSFLAARD, 5734608]
[paragraph, [389.0, 1318.0, 1073.0, 36.0], shoonya_2sIBOULSFLAARD, 5734608]
[paragraph, [389.0, 1354.0, 1073.0, 36.0], shoonya_2sIBOULSFLAARD, 5734608]
[paragraph, [389.0, 1418.0, 1073.0, 36.0], shoonya_4sQBF6Z2X5HRNM, 5734608]
[paragraph, [389.0, 1454.0, 1073.0, 36.0], shoonya_4sQBF6Z2X5HRNM, 5734608]
[paragraph, [389.0, 1490.0, 1073.0, 36.0], shoonya_4sQBF6Z2X5HRNM, 5734608]
[paragraph, [389.0, 1526.0, 1073.0, 36.0], shoonya_4sQBF6Z2X5HRNM, 5734608]
[paragraph, [389.0, 1562.0, 1073.0, 36.0], shoonya_4sQBF6Z2X5HRNM, 5734608]
[paragraph, [389.0, 1598.0, 1073.0, 36.0], shoonya_4sQBF6Z2X5HRNM, 5734608]
[paragraph, [389.0, 1634.0, 1073.0, 36.0], shoonya_4sQBF6Z2X5HRNM, 5734608]
[paragraph, [389.0, 1670.0, 1073.0, 36.0], shoonya_4sQBF6Z2X5HRNM, 5734608]
[paragraph, [389.0, 1706.0, 1073.0, 36.0], shoonya_4sQBF6Z2X5HRNM, 5734608]
[paragraph, [389.0, 1742.0, 1073.0, 36.0], shoonya_4sQBF6Z2X5HRNM, 5734608]
[paragraph, [390.0, 1808.0, 1075.0, 36.0], shoonya_3sMST1X8VXE6TY, 5734608]
[paragraph, [390.0, 1844.0, 1075.0, 36.0], shoonya_3sMST1X8VXE6TY, 5734608]
[paragraph, [390.0, 1880.0, 1075.0, 36.0], shoonya_3sMST1X8VXE6TY, 5734608]
[paragraph, [390.0, 1916.0, 1075.0, 36.0], shoonya_3sMST1X8VXE6TY, 5734608]
[paragraph, [390.0, 1952.0, 1075.0, 36.0], shoonya_3sMST1X8VXE6TY, 5734608]
[paragraph, [390.0, 1988.0, 1075.0, 36.0], shoonya_3sMST1X8VXE6TY, 5734608]
[paragraph, [390.0, 2024.0, 1075.0, 36.0], shoonya_3sMST1X8VXE6TY, 5734608]
[paragraph, [390.0, 2060.0, 1075.0, 36.0], shoonya_3sMST1X8VXE6TY, 5734608]
[paragraph, [390.0, 2096.0, 1075.0, 36.0], shoonya_3sMST1X8VXE6TY, 5734608]
[folio, [1099.0, 2180.0, 280.0, 36.0], X-tKtnGYxU, 5734608]
