[1388, 886]
[folio, [389.0, 61.0, 105.0, 18.0], s5FHQlnUGr, 5742227]
[folio, [389.0, 79.0, 105.0, 18.0], s5FHQlnUGr, 5742227]
[paragraph, [32.0, 123.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 141.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 159.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 177.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 195.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 213.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 231.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 249.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 267.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 285.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 303.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 321.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 339.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 357.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 375.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 393.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 411.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 429.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 447.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 465.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [32.0, 483.0, 402.0, 18.0], XjvLEKsRei, 5742227]
[paragraph, [451.0, 124.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 142.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 160.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 178.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 196.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 214.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 232.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 250.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 268.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 286.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 304.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 322.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 340.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 358.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 376.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 394.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 412.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 430.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 448.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 466.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 484.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 502.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 520.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 538.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 556.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 574.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 592.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 610.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 628.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 646.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 664.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 682.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
[paragraph, [451.0, 700.0, 397.0, 18.0], shoonya_2sRJJ6IK4R66UJ, 5742227]
